akun,anggaran,realisasi,persentase
Pendapatan Daerah,"2.223,07","2.275,10",102.34
PAD,"262,47","271,66",103.50
Pajak Daerah,"54,72","48,38",88.40
Retribusi Daerah,"22,92","13,36",58.29
Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"4,40","2,76",62.88
Lain-Lain PAD yang Sah,"180,44","207,16",114.81
TKDD,"1.734,28","1.707,40",98.45
Pendapatan Transfer Pemerintah Pusat,"1.734,28","1.707,40",98.45
Pendapatan Lainnya,"226,31","296,04",130.81
Pendapatan Transfer Antar Daerah,"131,78","152,46",115.70
Pendapatan Hibah,"0,00","0,00",0.00
Dana Darurat,"0,00","0,00",0.00
Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"94,54","143,58",151.88
Belanja Daerah,"2.287,33","2.211,22",96.67
Belanja Pegawai,"943,24","899,18",95.33
Belanja Barang Jasa,"474,98","473,61",99.71
Belanjaodal,"260,50","226,72",87.03
Belanja Lainnya,"608,62","611,71",100.51
Belanja Bunga,"0,00","0,00",0.00
Belanja Subsidi,"0,00","0,00",0.00
Belanja Hibah,"145,76","147,34",101.08
Belanja Bantuan Sosial,"3,09","5,83",188.91
Belanja Tidak Terduga,"2,00","1,11",55.35
Belanja Bagi Hasil,"6,31","0,00",0.00
Belanja Bantuan Keuangan,"451,46","457,44",101.32
Surplus/(Defisit),"-64,26","63,87",-99.39
Pembiayaan Daerah,"64,26","129,17",201.00
Penerimaan Pembiayaan Daerah,"89,01","129,17",145.11
Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"89,01","129,17",145.11
Pencairan Dana Cadangan,"0,00","0,00",0.00
Penjualan Kekayaan Daerah yang Dipisahkan,"0,00","0,00",0.00
Penerimaan Pinjaman Daerah,"0,00","0,00",0.00
Penerimaan Kembali Pemberian Pinjaman Daerah,"0,00","0,00",0.00
Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00","0,00",0.00
Pengeluaran Pembiayaan Daerah,"24,75","0,00",0.00
Pembentukan Dana Cadangan,"20,00","0,00",0.00
Penyertaanodal Daerah,"4,75","0,00",0.00
Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"0,00","0,00",0.00
Pemberian Pinjaman Daerah,"0,00","0,00",0.00
Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00","0,00",0.00
