akun,anggaran,realisasi,persentase
Pendapatan Daerah,3036.32,3181.21,104.77
     PAD,592.74,520.02,87.73
         Pajak Daerah,224.77,206.15,91.72
         Retribusi Daerah,72.95,43.21,59.23
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,24.38,21.49,88.15
         Lain-Lain PAD yang Sah,270.64,249.17,92.07
     TKDD,2200.95,2244.85,101.99
         Pendapatan Transfer Pemerintah Pusat,2200.95,2244.85,101.99
     Pendapatan Lainnya,242.63,416.34,171.59
         Pendapatan Transfer Antar Daerah,108.66,255.19,234.85
         Pendapatan Hibah,133.97,145.52,108.62
         Dana Darurat,,,
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.00,15.63,0
Belanja Daerah,3216.20,3093.59,96.19
     Belanja Pegawai,1225.63,1077.77,87.94
     Belanja Barang Jasa,846.97,812.10,95.88
     Belanjaodal,609.00,661.10,108.56
     Belanja Lainnya,534.60,542.62,101.5
         Belanja Bunga,,,
         Belanja Subsidi,,,
         Belanja Hibah,27.48,35.18,128.04
         Belanja Bantuan Sosial,77.64,61.15,78.77
         Belanja Tidak Terduga,10.00,29.02,290.2
         Belanja Bagi Hasil,21.01,21.01,100
         Belanja Bantuan Keuangan,398.48,396.25,99.44
Surplus/(Defisit),-179.88,87.62,-48.71
Pembiayaan Daerah,179.88,300.19,166.89
     Penerimaan Pembiayaan Daerah,184.28,310.59,168.54
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,184.28,310.59,168.54
         Pencairan Dana Cadangan,,,
         Penjualan Kekayaan Daerah yang Dipisahkan,,,
         Penerimaan Pinjaman Daerah,,,
         Penerimaan Kembali Pemberian Pinjaman Daerah,,,
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
     Pengeluaran Pembiayaan Daerah,4.40,10.40,236.36
         Pembentukan Dana Cadangan,,,
         Penyertaanodal Daerah,4.40,10.40,236.36
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,,,
         Pemberian Pinjaman Daerah,,,
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
