akun,anggaran,realisasi,persentase
Pendapatan Daerah,"2.280,05 M","2.467,65 M",108.23
     PAD,"284,05 M","407,53 M",143.47
         Pajak Daerah,"90,99 M","105,28 M",115.71
         Retribusi Daerah,"39,39 M","28,47 M",72.29
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"2,18 M","1,94 M",89.25
         Lain-Lain PAD yang Sah,"151,49 M","271,83 M",179.44
     TKDD,"1.766,78 M","1.752,75 M",99.21
         Pendapatan Transfer Pemerintah Pusat,"1.766,78 M","1.752,75 M",99.21
     Pendapatan Lainnya,"229,22 M","307,37 M",134.1
         Pendapatan Transfer Antar Daerah,"143,07 M","213,72 M",149.37
         Pendapatan Hibah,"0,00 M","1,53 M",0
         Dana Darurat,,,
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"86,14 M","92,12 M",106.94
Belanja Daerah,"2.314,92 M","2.294,17 M",99.1
     Belanja Pegawai,"968,09 M","884,78 M",91.39
     Belanja Barang Jasa,"585,81 M","653,57 M",111.57
     Belanja Modal,"312,50 M","359,93 M",115.18
     Belanja Lainnya,"448,51 M","395,88 M",88.27
         Belanja Bunga,,,
         Belanja Subsidi,,,
         Belanja Hibah,"48,07 M","48,69 M",101.29
         Belanja Bantuan Sosial,"25,90 M","26,48 M",102.23
         Belanja Tidak Terduga,"50,52 M","0,75 M",1.49
         Belanja Bagi Hasil,"13,04 M","8,91 M",68.34
         Belanja Bantuan Keuangan,"310,99 M","311,05 M",100.02
Surplus/(Defisit),"-34,88 M","173,48 M",-497.4
Pembiayaan Daerah,"34,88 M","148,04 M",424.45
     Penerimaan Pembiayaan Daerah,"36,33 M","149,49 M",411.5
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"36,33 M","149,47 M",411.45
         Pencairan Dana Cadangan,,,
         Penjualan Kekayaan Daerah yang Dipisahkan,,,
         Penerimaan Pinjaman Daerah,,,
         Penerimaan Kembali Pemberian Pinjaman Daerah,"0,00 M","0,02 M",0
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
     Pengeluaran Pembiayaan Daerah,"1,45 M","1,45 M",100
         Pembentukan Dana Cadangan,,,
         Penyertaan Modal Daerah,"1,45 M","1,45 M",100
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,,,
         Pemberian Pinjaman Daerah,,,
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
