akun,anggaran,realisasi,persentase
Pendapatan Daerah,"3.788,74","5.904,10",155.83
     PAD,"691,31","955,64",138.24
         Pajak Daerah,"99,39","138,56",139.40
         Retribusi Daerah,"40,25","32,74",81.36
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"144,61","398,27",275.41
         Lain-Lain PAD yang Sah,"407,06","386,07",94.84
     TKDD,"2.894,85","4.578,72",158.17
         Pendapatan Transfer Pemerintah Pusat,"2.894,85","4.578,72",158.17
     Pendapatan Lainnya,"202,58","369,74",182.51
         Pendapatan Transfer Antar Daerah,"104,09","205,13",197.08
         Pendapatan Hibah,"0,00","98,74",0.00
         Dana Darurat,"0,00","0,00",0.00
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"98,50","65,86",66.87
Belanja Daerah,"6.219,91","5.086,92",81.78
     Belanja Pegawai,"1.456,96","1.003,86",68.90
     Belanja Barang Jasa,"1.116,57","1.015,10",90.91
     Belanjaodal,"1.973,50","1.619,93",82.08
     Belanja Lainnya,"1.672,88","1.448,03",86.56
         Belanja Bunga,"0,00","0,00",0.00
         Belanja Subsidi,"0,22","0,00",0.00
         Belanja Hibah,"431,56","335,62",77.77
         Belanja Bantuan Sosial,"145,21","205,10",141.25
         Belanja Tidak Terduga,"38,05","34,62",90.98
         Belanja Bagi Hasil,"13,96","14,49",103.76
         Belanja Bantuan Keuangan,"1.043,87","858,20",82.21
Surplus/(Defisit),"-2.431,16","817,18",-33.61
Pembiayaan Daerah,"2.431,16","2.010,52",82.70
     Penerimaan Pembiayaan Daerah,"2.431,16","2.010,52",82.70
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"2.431,16","2.009,68",82.66
         Pencairan Dana Cadangan,"0,00","0,00",0.00
         Penjualan Kekayaan Daerah yang Dipisahkan,"0,00","0,00",0.00
         Penerimaan Pinjaman Daerah,"0,00","0,00",0.00
         Penerimaan Kembali Pemberian Pinjaman Daerah,"0,00","0,83",0.00
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00","0,00",0.00
     Pengeluaran Pembiayaan Daerah,"0,00","0,00",0.00
         Pembentukan Dana Cadangan,"0,00","0,00",0.00
         Penyertaanodal Daerah,"0,00","0,00",0.00
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"0,00","0,00",0.00
         Pemberian Pinjaman Daerah,"0,00","0,00",0.00
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00","0,00",0.00
,,,
