akun,anggaran,realisasi,persentase
Pendapatan Daerah,1999.23,2054.35,102.76
     PAD,233.31,223.14,95.64
         Pajak Daerah,41.30,35.11,85.02
         Retribusi Daerah,28.60,14.37,50.24
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,4.20,4.26,101.35
         Lain-Lain PAD yang Sah,159.21,169.39,106.4
     TKDD,1614.27,1597.52,98.96
         Pendapatan Transfer Pemerintah Pusat,1614.27,1597.52,98.96
     Pendapatan Lainnya,151.66,233.70,154.1
         Pendapatan Transfer Antar Daerah,91.72,132.11,144.03
         Pendapatan Hibah,0.00,0.00,0
         Dana Darurat,0.00,0.00,0
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,59.93,101.58,169.5
Belanja Daerah,2079.28,1963.80,94.45
     Belanja Pegawai,864.86,799.42,92.43
     Belanja Barang Jasa,461.58,444.02,96.2
     Belanjaodal,253.04,196.55,77.68
     Belanja Lainnya,499.79,523.81,104.81
         Belanja Bunga,0.00,0.00,0
         Belanja Subsidi,1.18,1.18,100
         Belanja Hibah,113.76,130.51,114.73
         Belanja Bantuan Sosial,42.13,35.22,83.6
         Belanja Tidak Terduga,2.90,1.01,34.66
         Belanja Bagi Hasil,6.99,6.17,88.21
         Belanja Bantuan Keuangan,332.83,349.73,105.08
Surplus/(Defisit),-80.04,90.55,-113.13
Pembiayaan Daerah,80.04,137.05,171.22
     Penerimaan Pembiayaan Daerah,80.04,137.05,171.22
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,80.04,136.91,171.05
         Pencairan Dana Cadangan,0.00,0.00,0
         Penjualan Kekayaan Daerah yang Dipisahkan,0.00,0.00,0
         Penerimaan Pinjaman Daerah,0.00,0.00,0
         Penerimaan Kembali Pemberian Pinjaman Daerah,0.00,0.14,0
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.00,0.00,0
     Pengeluaran Pembiayaan Daerah,0.00,0.00,0
         Pembentukan Dana Cadangan,0.00,0.00,0
         Penyertaanodal Daerah,0.00,0.00,0
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,0.00,0.00,0
         Pemberian Pinjaman Daerah,0.00,0.00,0
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.00,0.00,0
