akun,anggaran,realisasi,persentase
"Pendapatan Daerah","3.708,36 M","3.565,33 M",96.14
"     PAD","716,85 M","635,31 M",88.62
"         Pajak Daerah","223,42 M","209,90 M",93.95
"         Retribusi Daerah","42,20 M","31,78 M",75.31
"         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","6,10 M","7,06 M",115.77
"         Lain-Lain PAD yang Sah","445,13 M","386,56 M",86.84
"     TKDD","2.569,37 M","2.443,59 M",95.10
"         Pendapatan Transfer Pemerintah Pusat","2.569,37 M","2.443,59 M",95.10
"     Pendapatan Lainnya","422,14 M","486,43 M",115.23
"         Pendapatan Transfer Antar Daerah","219,90 M","288,91 M",131.38
"         Pendapatan Hibah","20,32 M","3,23 M",15.90
"         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","181,92 M","194,30 M",106.81
"Belanja Daerah","4.448,91 M","3.731,63 M",83.88
"     Belanja Pegawai","1.685,67 M","1.432,38 M",84.97
"         Belanja Pegawai","1.685,67 M","1.432,38 M",84.97
"     Belanja Barang Jasa","1.390,34 M","1.130,71 M",81.33
"         Belanja Barang dan Jasa","1.390,34 M","1.130,71 M",81.33
"     Belanja Modal","681,33 M","552,08 M",81.03
"         Belanja Modal","681,33 M","552,08 M",81.03
"     Belanja Lainnya","691,57 M","616,46 M",89.14
"         Belanja Subsidi","3,78 M","0,00 M",0.00
"         Belanja Hibah","113,50 M","108,44 M",95.54
"         Belanja Bantuan Sosial","28,20 M","47,18 M",167.29
"         Belanja Tidak Terduga","21,00 M","15,41 M",73.38
"         Belanja Bagi Hasil","22,07 M","22,07 M",100.00
"         Belanja Bantuan Keuangan","503,02 M","423,37 M",84.17
Surplus/(Defisit),"-740,56 M","-166,30 M",22.46
"Pembiayaan Daerah","0,00 M","0,00 M",0
"     Penerimaan Pembiayaan Daerah","740,56 M","842,92 M",113.82
"         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","740,56 M","842,88 M",113.82
"         Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,04 M",0
