akun,anggaran,realisasi,persentase
Pendapatan Daerah,"2.609,85 M","2.883,53 M",110.49
     PAD,"477,85 M","665,84 M",139.34
         Pajak Daerah,"120,00 M","147,70 M",123.08
         Retribusi Daerah,"15,34 M","19,41 M",126.55
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"3,43 M","4,56 M",133.02
         Lain-Lain PAD yang Sah,"339,08 M","494,17 M",145.74
     TKDD,"1.899,18 M","1.857,97 M",97.83
         Pendapatan Transfer Pemerintah Pusat,"1.899,18 M","1.857,97 M",97.83
     Pendapatan Lainnya,"232,82 M","359,72 M",154.5
         Pendapatan Transfer Antar Daerah,"134,53 M","244,19 M",181.51
         Pendapatan Hibah,"11,50 M","12,27 M",106.65
         Dana Darurat,,,
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"86,79 M","103,26 M",118.97
Belanja Daerah,"2.766,85 M","2.785,98 M",100.69
     Belanja Pegawai,"1.109,66 M","973,01 M",87.69
     Belanja Barang Jasa,"752,70 M","776,81 M",103.2
     Belanja Modal,"296,41 M","372,35 M",125.62
     Belanja Lainnya,"608,07 M","663,80 M",109.16
         Belanja Bunga,,,
         Belanja Subsidi,"0,00 M","3,50 M",0
         Belanja Hibah,"94,67 M","111,77 M",118.06
         Belanja Bantuan Sosial,"19,23 M","28,81 M",149.81
         Belanja Tidak Terduga,"6,80 M","9,71 M",142.81
         Belanja Bagi Hasil,"17,08 M","16,51 M",96.67
         Belanja Bantuan Keuangan,"470,30 M","493,51 M",104.93
Surplus/(Defisit),"-157,00 M","97,55 M",-62.13
Pembiayaan Daerah,"157,00 M","494,36 M",314.88
     Penerimaan Pembiayaan Daerah,"197,00 M","518,86 M",263.38
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"177,00 M","518,79 M",293.1
         Pencairan Dana Cadangan,,,
         Penjualan Kekayaan Daerah yang Dipisahkan,,,
         Penerimaan Pinjaman Daerah,"20,00 M","0,00 M",0
         Penerimaan Kembali Pemberian Pinjaman Daerah,"0,00 M","0,07 M",0
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
     Pengeluaran Pembiayaan Daerah,"40,00 M","24,50 M",61.25
         Pembentukan Dana Cadangan,"20,00 M","20,00 M",100
         Penyertaan Modal Daerah,"0,00 M","4,50 M",0
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"20,00 M","0,00 M",0
         Pemberian Pinjaman Daerah,,,
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
