akun,anggaran,realisasi,persentase
Pendapatan Daerah,2777.29,2923.11,105.25
     PAD,425.69,513.77,120.69
         Pajak Daerah,210.02,211.9,100.89
         Retribusi Daerah,26.34,26.81,101.78
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,8.92,10.53,117.99
         Lain-Lain PAD yang Sah,180.41,264.54,146.63
     TKDD,2198.81,2158.75,98.18
         Pendapatan Transfer Pemerintah Pusat,2198.81,2158.75,98.18
     Pendapatan Lainnya,152.78,250.59,164.01
         Pendapatan Transfer Antar Daerah,131.87,242.72,184.07
         Pendapatan Hibah,20.92,7.86,37.59
         Dana Darurat,,,
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0,0,0
Belanja Daerah,3168.89,2937.42,92.7
     Belanja Pegawai,1242.77,1045.36,84.12
     Belanja Barang Jasa,738.97,733.4,99.25
     Belanjaodal,416.19,319.31,76.72
     Belanja Lainnya,770.96,839.36,108.87
         Belanja Bunga,,,
         Belanja Subsidi,,,
         Belanja Hibah,87.52,131.72,150.5
         Belanja Bantuan Sosial,82.25,84.09,102.25
         Belanja Tidak Terduga,52.31,34.26,65.5
         Belanja Bagi Hasil,23.67,23.89,100.9
         Belanja Bantuan Keuangan,525.21,565.39,107.65
Surplus/(Defisit),-391.6,-14.31,3.66
Pembiayaan Daerah,391.6,573.34,146.41
     Penerimaan Pembiayaan Daerah,396.6,578.34,145.82
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,387.05,567.69,146.67
         Pencairan Dana Cadangan,,,
         Penjualan Kekayaan Daerah yang Dipisahkan,,,
         Penerimaan Pinjaman Daerah,,,
         Penerimaan Kembali Pemberian Pinjaman Daerah,9.55,10.65,111.5
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
     Pengeluaran Pembiayaan Daerah,5,5,100
         Pembentukan Dana Cadangan,,,
         Penyertaanodal Daerah,5,5,100
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,,,
         Pemberian Pinjaman Daerah,,,
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
