akun,anggaran,realisasi,persentase
"Pendapatan Daerah","1.003,82 M","1.100,68 M",109.65
"     PAD","226,89 M","265,92 M",117.20
"         Pajak Daerah","76,98 M","87,87 M",114.16
"         Retribusi Daerah","16,73 M","17,46 M",104.38
"         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","15,09 M","16,20 M",107.34
"         Lain-Lain PAD yang Sah","118,09 M","144,38 M",122.26
"     TKDD","692,15 M","709,16 M",102.46
"         Pendapatan Transfer Pemerintah Pusat","692,15 M","709,16 M",102.46
"     Pendapatan Lainnya","84,78 M","125,60 M",148.14
"         Pendapatan Transfer Antar Daerah","65,38 M","103,96 M",159.01
"         Pendapatan Hibah","0,00 M","21,64 M",0
"         Dana Darurat","0,00 M","0,00 M",0
"         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","19,40 M","0,00 M",0.00
"Belanja Daerah","1.140,82 M","1.073,68 M",94.11
"     Belanja Pegawai","478,43 M","413,77 M",86.48
"         Belanja Pegawai","478,43 M","413,77 M",86.48
"     Belanja Barang Jasa","425,06 M","413,96 M",97.39
"         Belanja Barang dan Jasa","425,06 M","413,96 M",97.39
"     Belanja Modal","197,74 M","197,96 M",100.11
"         Belanja Modal","197,74 M","197,96 M",100.11
"     Belanja Lainnya","39,60 M","48,00 M",121.21
"         Belanja Bunga","0,00 M","0,00 M",0
"         Belanja Subsidi","0,00 M","0,00 M",0
"         Belanja Hibah","13,77 M","13,43 M",97.57
"         Belanja Bantuan Sosial","22,65 M","18,72 M",82.66
"         Belanja Tidak Terduga","3,18 M","15,84 M",497.99
"         Belanja Bagi Hasil","0,00 M","0,00 M",0
"         Belanja Bantuan Keuangan","0,00 M","0,00 M",0
Surplus/(Defisit),"-137,00 M","27,00 M",-19.71
"Pembiayaan Daerah","137,00 M","268,93 M",196.30
"     Penerimaan Pembiayaan Daerah","137,00 M","268,93 M",196.30
"         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","137,00 M","268,93 M",196.30
"         Pencairan Dana Cadangan","0,00 M","0,00 M",0
"         Penjualan Kekayaan Daerah yang Dipisahkan","0,00 M","0,00 M",0
"         Penerimaan Pinjaman Daerah","0,00 M","0,00 M",0
"         Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,00 M",0
"         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
"     Pengeluaran Pembiayaan Daerah","0,00 M","0,00 M",0
"         Pembentukan Dana Cadangan","0,00 M","0,00 M",0
"         Penyertaan Modal Daerah","0,00 M","0,00 M",0
"         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","0,00 M","0,00 M",0
"         Pemberian Pinjaman Daerah","0,00 M","0,00 M",0
"         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
