akun,anggaran,realisasi,persentase
"Pendapatan Daerah","2.250,89 M","2.152,36 M",95.62
"     PAD","776,69 M","603,79 M",77.74
"         Pajak Daerah","629,61 M","430,23 M",68.33
"         Retribusi Daerah","55,23 M","40,82 M",73.92
"         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","25,22 M","25,97 M",103.00
"         Lain-Lain PAD yang Sah","66,63 M","106,77 M",160.23
"     TKDD","1.198,11 M","1.219,90 M",101.82
"         Pendapatan Transfer Pemerintah Pusat","1.198,11 M","1.219,90 M",101.82
"     Pendapatan Lainnya","276,09 M","328,67 M",119.04
"         Pendapatan Transfer Antar Daerah","182,92 M","255,52 M",139.69
"         Pendapatan Hibah","0,00 M","0,00 M",0
"         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","93,17 M","73,15 M",78.51
"Belanja Daerah","2.554,77 M","2.225,95 M",87.13
"     Belanja Pegawai","1.007,34 M","832,39 M",82.63
"         Belanja Pegawai","1.007,34 M","832,39 M",82.63
"     Belanja Barang Jasa","1.007,57 M","940,66 M",93.36
"         Belanja Barang dan Jasa","1.007,57 M","940,66 M",93.36
"     Belanja Modal","347,62 M","295,09 M",84.89
"         Belanja Modal","347,62 M","295,09 M",84.89
"     Belanja Lainnya","192,24 M","157,81 M",82.09
"         Belanja Hibah","109,67 M","93,80 M",85.53
"         Belanja Bantuan Sosial","16,61 M","18,46 M",111.16
"         Belanja Tidak Terduga","65,97 M","45,55 M",69.06
Surplus/(Defisit),"-303,89 M","-73,60 M",24.22
"Pembiayaan Daerah","303,89 M","557,89 M",183.59
"     Penerimaan Pembiayaan Daerah","323,89 M","567,89 M",175.34
"         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","323,89 M","567,89 M",175.34
"     Pengeluaran Pembiayaan Daerah","20,00 M","10,00 M",50.00
"         Penyertaan Modal Daerah","20,00 M","10,00 M",50.00
