akun,anggaran,realisasi,persentase
Pendapatan Daerah,"869,69 M","963,88 M",110.83
     PAD,"202,83 M","256,38 M",126.4
         Pajak Daerah,"48,60 M","52,38 M",107.76
         Retribusi Daerah,"10,16 M","10,70 M",105.3
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"4,82 M","3,52 M",73.14
         Lain-Lain PAD yang Sah,"139,25 M","189,78 M",136.29
     TKDD,"580,06 M","601,58 M",103.71
         Pendapatan Transfer Pemerintah Pusat,"580,06 M","601,58 M",103.71
     Pendapatan Lainnya,"86,80 M","105,91 M",122.02
         Pendapatan Transfer Antar Daerah,"66,75 M","89,65 M",134.3
         Pendapatan Hibah,"0,00 M","15,26 M",0
         Dana Darurat,"0,00 M","0,00 M",0
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"20,05 M","16,27 M",81.14
Belanja Daerah,"1.042,61 M","953,45 M",91.45
     Belanja Pegawai,"356,44 M","343,73 M",96.43
     Belanja Barang Jasa,"418,47 M","416,17 M",99.45
     Belanja Modal,"218,26 M","159,81 M",73.22
     Belanja Lainnya,"49,43 M","33,74 M",68.25
         Belanja Bunga,"0,00 M","0,00 M",0
         Belanja Subsidi,"0,00 M","0,00 M",0
         Belanja Hibah,"16,48 M","21,00 M",127.44
         Belanja Bantuan Sosial,"31,95 M","12,42 M",38.86
         Belanja Tidak Terduga,"1,00 M","0,31 M",31.49
         Belanja Bagi Hasil,"0,75 M","3,06 M",407.39
         Belanja Bantuan Keuangan,"0,50 M","0,00 M",0
Surplus/(Defisit),"-172,92 M","10,43 M",-6.03
Pembiayaan Daerah,"172,92 M","264,34 M",152.86
     Penerimaan Pembiayaan Daerah,"177,92 M","269,34 M",151.38
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"177,87 M","269,31 M",151.4
         Pencairan Dana Cadangan,"0,00 M","0,00 M",0
         Penjualan Kekayaan Daerah yang Dipisahkan,"0,00 M","0,00 M",0
         Penerimaan Pinjaman Daerah,"0,00 M","0,00 M",0
         Penerimaan Kembali Pemberian Pinjaman Daerah,"0,05 M","0,03 M",56.75
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,00 M",0
     Pengeluaran Pembiayaan Daerah,"5,00 M","5,00 M",100
         Pembentukan Dana Cadangan,"0,00 M","0,00 M",0
         Penyertaan Modal Daerah,"5,00 M","5,00 M",100
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"0,00 M","0,00 M",0
         Pemberian Pinjaman Daerah,"0,00 M","0,00 M",0
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,00 M",0
