akun,anggaran,realisasi,persentase
"Pendapatan Daerah","780,83 M","839,31 M",107.49
"     PAD","133,36 M","131,84 M",98.86
"         Pajak Daerah","35,03 M","39,92 M",113.97
"         Retribusi Daerah","8,38 M","7,59 M",90.55
"         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","5,00 M","5,85 M",117.09
"         Lain-Lain PAD yang Sah","84,95 M","78,47 M",92.37
"     TKDD","594,95 M","602,69 M",101.30
"         Pendapatan Transfer Pemerintah Pusat","594,95 M","602,69 M",101.30
"     Pendapatan Lainnya","52,52 M","104,78 M",199.51
"         Pendapatan Transfer Antar Daerah","51,02 M","97,52 M",191.14
"         Pendapatan Hibah","1,50 M","0,00 M",0.00
"         Dana Darurat","0,00 M","0,00 M",0
"         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","7,26 M",0
"Belanja Daerah","1.097,53 M","858,58 M",78.23
"     Belanja Pegawai","383,72 M","342,86 M",89.35
"         Belanja Pegawai","383,72 M","342,86 M",89.35
"     Belanja Barang Jasa","424,70 M","344,17 M",81.04
"         Belanja Barang dan Jasa","424,70 M","344,17 M",81.04
"     Belanja Modal","187,47 M","93,03 M",49.62
"         Belanja Modal","187,47 M","93,03 M",49.62
"     Belanja Lainnya","101,64 M","78,53 M",77.26
"         Belanja Bunga","0,00 M","0,00 M",0
"         Belanja Subsidi","0,00 M","0,00 M",0
"         Belanja Hibah","48,38 M","43,67 M",90.27
"         Belanja Bantuan Sosial","32,26 M","24,50 M",75.94
"         Belanja Tidak Terduga","21,00 M","10,36 M",49.33
"         Belanja Bagi Hasil","0,00 M","0,00 M",0
"         Belanja Bantuan Keuangan","0,00 M","0,00 M",0
Surplus/(Defisit),"-316,70 M","-19,28 M",6.09
"Pembiayaan Daerah","316,70 M","220,25 M",69.55
"     Penerimaan Pembiayaan Daerah","318,20 M","222,91 M",70.05
"         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","267,83 M","222,88 M",83.22
"         Pencairan Dana Cadangan","50,37 M","0,00 M",0.00
"         Penjualan Kekayaan Daerah yang Dipisahkan","0,00 M","0,00 M",0
"         Penerimaan Pinjaman Daerah","0,00 M","0,00 M",0
"         Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,02 M",0
"         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
"     Pengeluaran Pembiayaan Daerah","1,50 M","2,65 M",176.74
"         Pembentukan Dana Cadangan","0,00 M","2,65 M",0
"         Penyertaan Modal Daerah","1,50 M","0,00 M",0.00
"         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","0,00 M","0,00 M",0
"         Pemberian Pinjaman Daerah","0,00 M","0,00 M",0
"         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
