akun,anggaran,realisasi,persentase
Pendapatan Daerah,"1.024,91 M","993,88 M",96.97
     PAD,"216,83 M","212,85 M",98.16
         Pajak Daerah,"56,25 M","47,45 M",84.36
         Retribusi Daerah,"16,63 M","13,32 M",80.12
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"1,47 M","1,52 M",103.16
         Lain-Lain PAD yang Sah,"142,48 M","150,56 M",105.67
     TKDD,"671,85 M","654,93 M",97.48
         Pendapatan Transfer Pemerintah Pusat,"671,85 M","654,93 M",97.48
     Pendapatan Lainnya,"136,23 M","126,10 M",92.57
         Pendapatan Transfer Antar Daerah,"113,56 M","103,06 M",90.75
         Pendapatan Hibah,"0,00 M","15,26 M",0
         Dana Darurat,"0,00 M","0,00 M",0
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"22,66 M","23,05 M",101.69
Belanja Daerah,"1.089,91 M","898,56 M",82.44
     Belanja Pegawai,"490,18 M","439,94 M",89.75
     Belanja Barang Jasa,"393,00 M","330,88 M",84.19
     Belanja Modal,"167,43 M","69,35 M",41.42
     Belanja Lainnya,"39,30 M","58,39 M",148.59
         Belanja Bunga,"0,00 M","0,00 M",0
         Belanja Subsidi,"0,00 M","0,00 M",0
         Belanja Hibah,"22,65 M","21,07 M",93.04
         Belanja Bantuan Sosial,"0,97 M","1,88 M",194.41
         Belanja Tidak Terduga,"15,00 M","34,66 M",231.03
         Belanja Bagi Hasil,"0,68 M","0,78 M",114.63
Surplus/(Defisit),"-65,00 M","95,32 M",-146.65
Pembiayaan Daerah,"65,00 M","174,05 M",267.77
     Penerimaan Pembiayaan Daerah,"90,00 M","204,05 M",226.72
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"90,00 M","204,05 M",226.72
         Pencairan Dana Cadangan,"0,00 M","0,00 M",0
         Penjualan Kekayaan Daerah yang Dipisahkan,"0,00 M","0,00 M",0
         Penerimaan Pinjaman Daerah,"0,00 M","0,00 M",0
         Penerimaan Kembali Pemberian Pinjaman Daerah,"0,00 M","0,01 M",0
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,00 M",0
     Pengeluaran Pembiayaan Daerah,"25,00 M","30,00 M",120
         Pembentukan Dana Cadangan,"25,00 M","30,00 M",120
         Penyertaan Modal Daerah,"10,00 M","0,00 M",0
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"0,00 M","0,00 M",0
         Pemberian Pinjaman Daerah,"0,00 M","0,00 M",0
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,00 M",0
