akun,anggaran,realisasi,persentase
Pendapatan Daerah,"885,59","1.041,51",117.61
     PAD,"187,33","297,62",158.87
         Pajak Daerah,"41,06","38,28",93.23
         Retribusi Daerah,"9,06","6,38",70.43
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"1,10","0,83",75.12
         Lain-Lain PAD yang Sah,"136,11","252,13",185.24
     TKDD,"605,30","618,65",102.21
         Pendapatan Transfer Pemerintah Pusat,"605,30","618,65",102.21
     Pendapatan Lainnya,"92,95","125,24",134.73
         Pendapatan Transfer Antar Daerah,"75,03","95,35",127.09
         Pendapatan Hibah,,,
         Dana Darurat,,,
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"17,93","29,89",166.72
Belanja Daerah,"960,46","986,00",102.66
     Belanja Pegawai,"328,40","314,98",95.91
     Belanja Barang Jasa,"448,37","481,18",107.32
     Belanjaodal,"125,15","130,86",104.56
     Belanja Lainnya,"58,54","58,99",100.77
         Belanja Bunga,,,
         Belanja Subsidi,,,
         Belanja Hibah,"27,33","24,92",91.17
         Belanja Bantuan Sosial,"24,21","21,24",87.73
         Belanja Tidak Terduga,"7,00","12,84",183.36
         Belanja Bagi Hasil,,,
         Belanja Bantuan Keuangan,,,
Surplus/(Defisit),"-74,87","55,50",-74.13
Pembiayaan Daerah,"74,87","-2,94",-3.93
     Penerimaan Pembiayaan Daerah,"75,87","0,06",0.07
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"75,87","0,00",0.00
         Pencairan Dana Cadangan,,,
         Penjualan Kekayaan Daerah yang Dipisahkan,,,
         Penerimaan Pinjaman Daerah,,,
         Penerimaan Kembali Pemberian Pinjaman Daerah,"0,00","0,06",0.00
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
     Pengeluaran Pembiayaan Daerah,"1,00","3,00",300.00
         Pembentukan Dana Cadangan,,,
         Penyertaanodal Daerah,"1,00","3,00",300.00
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,,,
         Pemberian Pinjaman Daerah,,,
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
