akun,anggaran,realisasi,persentase
Pendapatan Daerah,"1.003,82","1.100,68",109.65
     PAD,"226,89","265,92",117.20
         Pajak Daerah,"76,98","87,87",114.16
         Retribusi Daerah,"16,73","17,46",104.38
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"15,09","16,20",107.34
         Lain-Lain PAD yang Sah,"118,09","144,38",122.26
     TKDD,"692,15","709,16",102.46
         Pendapatan Transfer Pemerintah Pusat,"692,15","709,16",102.46
     Pendapatan Lainnya,"84,78","125,60",148.14
         Pendapatan Transfer Antar Daerah,"65,38","103,96",159.01
         Pendapatan Hibah,"0,00","21,64",0.00
         Dana Darurat,"0,00","0,00",0.00
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"19,40","0,00",0.00
Belanja Daerah,"1.140,82","1.073,68",94.11
     Belanja Pegawai,"478,43","413,77",86.48
     Belanja Barang Jasa,"425,06","413,96",97.39
     Belanjaodal,"197,74","197,96",100.11
     Belanja Lainnya,"39,60","48,00",121.21
         Belanja Bunga,"0,00","0,00",0.00
         Belanja Subsidi,"0,00","0,00",0.00
         Belanja Hibah,"13,77","13,43",97.57
         Belanja Bantuan Sosial,"22,65","18,72",82.66
         Belanja Tidak Terduga,"3,18","15,84",497.99
         Belanja Bagi Hasil,"0,00","0,00",0.00
         Belanja Bantuan Keuangan,"0,00","0,00",0.00
Surplus/(Defisit),"-137,00","27,00",-19.71
Pembiayaan Daerah,"137,00","268,93",196.30
     Penerimaan Pembiayaan Daerah,"137,00","268,93",196.30
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"137,00","268,93",196.30
         Pencairan Dana Cadangan,"0,00","0,00",0.00
         Penjualan Kekayaan Daerah yang Dipisahkan,"0,00","0,00",0.00
         Penerimaan Pinjaman Daerah,"0,00","0,00",0.00
         Penerimaan Kembali Pemberian Pinjaman Daerah,"0,00","0,00",0.00
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00","0,00",0.00
     Pengeluaran Pembiayaan Daerah,"0,00","0,00",0.00
         Pembentukan Dana Cadangan,"0,00","0,00",0.00
         Penyertaanodal Daerah,"0,00","0,00",0.00
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"0,00","0,00",0.00
         Pemberian Pinjaman Daerah,"0,00","0,00",0.00
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00","0,00",0.00
