akun,anggaran,realisasi,persentase
Pendapatan Daerah,2250.89,2152.36,95.62
     PAD,776.69,603.79,77.74
         Pajak Daerah,629.61,430.23,68.33
         Retribusi Daerah,55.23,40.82,73.92
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,25.22,25.97,103
         Lain-Lain PAD yang Sah,66.63,106.77,160.23
     TKDD,1198.11,1219.90,101.82
         Pendapatan Transfer Pemerintah Pusat,1198.11,1219.90,101.82
     Pendapatan Lainnya,276.09,328.67,119.04
         Pendapatan Transfer Antar Daerah,182.92,255.52,139.69
         Pendapatan Hibah,0.00,0.00,0
         Dana Darurat,,,
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,93.17,73.15,78.51
Belanja Daerah,2554.77,2225.95,87.13
     Belanja Pegawai,1007.34,832.39,82.63
     Belanja Barang Jasa,1007.57,940.66,93.36
     Belanjaodal,347.62,295.09,84.89
     Belanja Lainnya,192.24,157.81,82.09
         Belanja Bunga,,,
         Belanja Subsidi,,,
         Belanja Hibah,109.67,93.80,85.53
         Belanja Bantuan Sosial,16.61,18.46,111.16
         Belanja Tidak Terduga,65.97,45.55,69.06
         Belanja Bagi Hasil,,,
         Belanja Bantuan Keuangan,,,
Surplus/(Defisit),-303.89,-73.60,24.22
Pembiayaan Daerah,303.89,557.89,183.59
     Penerimaan Pembiayaan Daerah,323.89,567.89,175.34
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,323.89,567.89,175.34
         Pencairan Dana Cadangan,,,
         Penjualan Kekayaan Daerah yang Dipisahkan,,,
         Penerimaan Pinjaman Daerah,,,
         Penerimaan Kembali Pemberian Pinjaman Daerah,,,
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
     Pengeluaran Pembiayaan Daerah,20.00,10.00,50
         Pembentukan Dana Cadangan,,,
         Penyertaanodal Daerah,20.00,10.00,50
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,,,
         Pemberian Pinjaman Daerah,,,
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
