akun,anggaran,realisasi,persentase
Pendapatan Daerah,"869,69","963,88",110.83
     PAD,"202,83","256,38",126.40
         Pajak Daerah,"48,60","52,38",107.76
         Retribusi Daerah,"10,16","10,70",105.30
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"4,82","3,52",73.14
         Lain-Lain PAD yang Sah,"139,25","189,78",136.29
     TKDD,"580,06","601,58",103.71
         Pendapatan Transfer Pemerintah Pusat,"580,06","601,58",103.71
     Pendapatan Lainnya,"86,80","105,91",122.02
         Pendapatan Transfer Antar Daerah,"66,75","89,65",134.30
         Pendapatan Hibah,,,
         Dana Darurat,,,
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"20,05","16,27",81.14
Belanja Daerah,"1.042,61","953,45",91.45
     Belanja Pegawai,"356,44","343,73",96.43
     Belanja Barang Jasa,"418,47","416,17",99.45
     Belanjaodal,"218,26","159,81",73.22
     Belanja Lainnya,"49,43","33,74",68.25
         Belanja Bunga,,,
         Belanja Subsidi,,,
         Belanja Hibah,"16,48","21,00",127.44
         Belanja Bantuan Sosial,"31,95","12,42",38.86
         Belanja Tidak Terduga,"1,00","0,31",31.49
         Belanja Bagi Hasil,,,
         Belanja Bantuan Keuangan,,,
Surplus/(Defisit),"-172,92","10,43",-6.03
Pembiayaan Daerah,"172,92","264,34",152.86
     Penerimaan Pembiayaan Daerah,"177,92","269,34",151.38
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"177,87","269,31",151.40
         Pencairan Dana Cadangan,,,
         Penjualan Kekayaan Daerah yang Dipisahkan,,,
         Penerimaan Pinjaman Daerah,,,
         Penerimaan Kembali Pemberian Pinjaman Daerah,"0,05","0,03",56.75
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
     Pengeluaran Pembiayaan Daerah,"5,00","5,00",100.00
         Pembentukan Dana Cadangan,,,
         Penyertaanodal Daerah,"5,00","5,00",100.00
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,,,
         Pemberian Pinjaman Daerah,,,
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
