akun,anggaran,realisasi,persentase
Pendapatan Daerah,"1.024,91","993,88",96.97
     PAD,"216,83","212,85",98.16
         Pajak Daerah,"56,25","47,45",84.36
         Retribusi Daerah,"16,63","13,32",80.12
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"1,47","1,52",103.16
         Lain-Lain PAD yang Sah,"142,48","150,56",105.67
     TKDD,"671,85","654,93",97.48
         Pendapatan Transfer Pemerintah Pusat,"671,85","654,93",97.48
     Pendapatan Lainnya,"136,23","126,10",92.57
         Pendapatan Transfer Antar Daerah,"113,56","103,06",90.75
         Pendapatan Hibah,,,
         Dana Darurat,,,
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"22,66","23,05",101.69
Belanja Daerah,"1.089,91","898,56",82.44
     Belanja Pegawai,"490,18","439,94",89.75
     Belanja Barang Jasa,"393,00","330,88",84.19
     Belanjaodal,"167,43","69,35",41.42
     Belanja Lainnya,"39,30","58,39",148.59
         Belanja Bunga,,,
         Belanja Subsidi,,,
         Belanja Hibah,"22,65","21,07",93.04
         Belanja Bantuan Sosial,"0,97","1,88",194.41
         Belanja Tidak Terduga,"15,00","34,66",231.03
         Belanja Bagi Hasil,"0,68","0,78",114.63
         Belanja Bantuan Keuangan,,,
Surplus/(Defisit),"-65,00","95,32",-146.65
Pembiayaan Daerah,"65,00","174,05",267.77
     Penerimaan Pembiayaan Daerah,"90,00","204,05",226.72
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"90,00","204,05",226.72
         Pencairan Dana Cadangan,,,
         Penjualan Kekayaan Daerah yang Dipisahkan,,,
         Penerimaan Pinjaman Daerah,,,
         Penerimaan Kembali Pemberian Pinjaman Daerah,,,
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
     Pengeluaran Pembiayaan Daerah,"25,00","30,00",120.00
         Pembentukan Dana Cadangan,"25,00","30,00",120.00
         Penyertaanodal Daerah,,,
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,,,
         Pemberian Pinjaman Daerah,,,
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
