akun,anggaran,realisasi,persentase
Pendapatan Daerah,"2.930,44","2.975,02",101.52
     PAD,"467,69","604,59",129.27
         Pajak Daerah,"140,87","134,40",95.41
         Retribusi Daerah,"16,67","14,30",85.76
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"25,36","19,18",75.62
         Lain-Lain PAD yang Sah,"284,79","436,71",153.34
     TKDD,"2.036,82","2.021,55",99.25
         Pendapatan Transfer Pemerintah Pusat,"2.036,82","2.021,55",99.25
     Pendapatan Lainnya,"425,93","348,88",81.91
         Pendapatan Transfer Antar Daerah,"275,19","227,94",82.83
         Pendapatan Hibah,"52,94","14,43",27.26
         Dana Darurat,"0,00","6,33",0.00
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"97,80","100,18",102.43
Belanja Daerah,"2.938,94","2.871,01",97.69
     Belanja Pegawai,"940,80","980,28",104.20
     Belanja Barang Jasa,"733,12","706,75",96.40
     Belanjaodal,"409,96","327,39",79.86
     Belanja Lainnya,"855,06","856,59",100.18
         Belanja Bunga,,,
         Belanja Subsidi,,,
         Belanja Hibah,"200,28","212,40",106.05
         Belanja Bantuan Sosial,"11,73","11,91",101.56
         Belanja Tidak Terduga,"30,00","19,39",64.62
         Belanja Bagi Hasil,"15,96","15,93",99.83
         Belanja Bantuan Keuangan,"597,09","596,96",99.98
Surplus/(Defisit),"-8,50","104,01",-1223.67
Pembiayaan Daerah,"8,50","51,08",600.89
     Penerimaan Pembiayaan Daerah,"11,00","53,58",487.05
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"11,00","51,42",467.49
         Pencairan Dana Cadangan,,,
         Penjualan Kekayaan Daerah yang Dipisahkan,,,
         Penerimaan Pinjaman Daerah,,,
         Penerimaan Kembali Pemberian Pinjaman Daerah,"0,00","2,15",0.00
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
     Pengeluaran Pembiayaan Daerah,"2,50","2,50",100.00
         Pembentukan Dana Cadangan,,,
         Penyertaanodal Daerah,"2,50","2,50",100.00
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,,,
         Pemberian Pinjaman Daerah,,,
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
