akun,anggaran,realisasi,persentase
Pendapatan Daerah,2136.61,2161.88,101.18
     PAD,307.95,325.05,105.55
         Pajak Daerah,90.42,81.67,90.32
         Retribusi Daerah,37.76,32.01,84.78
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,5.06,4.71,93.04
         Lain-Lain PAD yang Sah,174.71,206.65,118.29
     TKDD,1572.64,1532.99,97.48
         Pendapatan Transfer Pemerintah Pusat,1572.64,1532.99,97.48
     Pendapatan Lainnya,256.02,303.84,118.68
         Pendapatan Transfer Antar Daerah,136.19,169.20,124.24
         Pendapatan Hibah,38.10,22.35,58.67
         Dana Darurat,0.00,0.00,0
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,81.73,112.29,137.39
Belanja Daerah,2232.11,2150.42,96.34
     Belanja Pegawai,837.19,801.05,95.68
     Belanja Barang Jasa,562.17,554.44,98.63
     Belanjaodal,224.63,211.21,94.03
     Belanja Lainnya,608.12,583.72,95.99
         Belanja Bunga,0.00,0.44,0
         Belanja Subsidi,0.00,0.00,0
         Belanja Hibah,187.60,170.68,90.98
         Belanja Bantuan Sosial,31.24,29.71,95.1
         Belanja Tidak Terduga,27.00,22.99,85.13
         Belanja Bagi Hasil,15.00,7.46,49.76
         Belanja Bantuan Keuangan,347.28,352.44,101.49
Surplus/(Defisit),-95.50,11.46,-12
Pembiayaan Daerah,95.50,221.15,231.57
     Penerimaan Pembiayaan Daerah,98.50,221.65,225.02
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,98.00,178.54,182.18
         Pencairan Dana Cadangan,0.00,0.00,0
         Penjualan Kekayaan Daerah yang Dipisahkan,0.00,0.00,0
         Penerimaan Pinjaman Daerah,0.00,41.73,0
         Penerimaan Kembali Pemberian Pinjaman Daerah,0.50,1.38,275.34
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.00,0.00,0
     Pengeluaran Pembiayaan Daerah,3.00,0.50,16.67
         Pembentukan Dana Cadangan,0.00,0.00,0
         Penyertaanodal Daerah,0.00,0.50,0
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,0.00,0.00,0
         Pemberian Pinjaman Daerah,3.00,0.00,0
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.00,0.00,0
