akun,anggaran,realisasi,persentase
Pendapatan Daerah,"1.817,81 M","1.978,49 M",108.84
     PAD,"220,77 M","333,15 M",150.91
         Pajak Daerah,"71,96 M","78,60 M",109.23
         Retribusi Daerah,"7,75 M","7,99 M",103.12
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"7,12 M","7,60 M",106.84
         Lain-Lain PAD yang Sah,"133,95 M","238,96 M",178.4
     TKDD,"1.471,90 M","1.456,25 M",98.94
         Pendapatan Transfer Pemerintah Pusat,"1.471,90 M","1.456,25 M",98.94
     Pendapatan Lainnya,"125,14 M","189,09 M",151.1
         Pendapatan Transfer Antar Daerah,"113,42 M","151,33 M",133.43
         Pendapatan Hibah,"11,72 M","37,75 M",322.16
         Dana Darurat,"0,00 M","0,00 M",0
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,00 M",0
Belanja Daerah,"1.839,39 M","1.866,34 M",101.47
     Belanja Pegawai,"756,65 M","696,78 M",92.09
     Belanja Barang Jasa,"419,36 M","498,46 M",118.86
     Belanja Modal,"200,96 M","183,41 M",91.27
     Belanja Lainnya,"462,43 M","487,68 M",105.46
         Belanja Bunga,"0,00 M","0,00 M",0
         Belanja Subsidi,"1,93 M","1,56 M",81.02
         Belanja Hibah,"33,64 M","37,08 M",110.2
         Belanja Bantuan Sosial,"6,22 M","7,84 M",126.08
         Belanja Tidak Terduga,"30,00 M","27,22 M",90.73
         Belanja Bagi Hasil,"9,21 M","9,97 M",108.2
         Belanja Bantuan Keuangan,"381,43 M","404,02 M",105.92
Surplus/(Defisit),"-21,58 M","112,15 M",-519.61
Pembiayaan Daerah,"21,58 M","186,11 M",862.28
     Penerimaan Pembiayaan Daerah,"39,58 M","207,14 M",523.29
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"39,58 M","207,14 M",523.29
         Pencairan Dana Cadangan,"0,00 M","0,00 M",0
         Penjualan Kekayaan Daerah yang Dipisahkan,"0,00 M","0,00 M",0
         Penerimaan Pinjaman Daerah,"0,00 M","0,00 M",0
         Penerimaan Kembali Pemberian Pinjaman Daerah,"0,00 M","0,00 M",0
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,00 M",0
     Pengeluaran Pembiayaan Daerah,"18,00 M","21,02 M",116.8
         Pembentukan Dana Cadangan,"10,00 M","10,00 M",100
         Penyertaan Modal Daerah,"8,00 M","11,02 M",137.8
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"0,00 M","0,00 M",0
         Pemberian Pinjaman Daerah,"0,00 M","0,00 M",0
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,00 M",0
