akun,anggaran,realisasi,persentase
"Pendapatan Daerah","1.811,07 M","1.896,12 M",104.70
"     PAD","218,92 M","243,73 M",111.34
"         Pajak Daerah","56,52 M","59,11 M",104.60
"         Retribusi Daerah","28,13 M","20,79 M",73.92
"         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","3,39 M","3,72 M",109.82
"         Lain-Lain PAD yang Sah","130,89 M","160,11 M",122.32
"     TKDD","1.455,44 M","1.434,44 M",98.56
"         Pendapatan Transfer Pemerintah Pusat","1.455,44 M","1.434,44 M",98.56
"     Pendapatan Lainnya","136,72 M","217,95 M",159.41
"         Pendapatan Transfer Antar Daerah","78,32 M","148,23 M",189.26
"         Pendapatan Hibah","7,70 M","0,64 M",8.26
"         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","50,70 M","69,08 M",136.26
"Belanja Daerah","1.898,61 M","1.773,06 M",93.39
"     Belanja Pegawai","917,45 M","781,08 M",85.14
"         Belanja Pegawai","917,45 M","781,08 M",85.14
"     Belanja Barang Jasa","455,70 M","434,88 M",95.43
"         Belanja Barang dan Jasa","455,70 M","434,88 M",95.43
"     Belanja Modal","146,72 M","157,75 M",107.51
"         Belanja Modal","146,72 M","157,75 M",107.51
"     Belanja Lainnya","378,74 M","399,36 M",105.44
"         Belanja Subsidi","0,02 M","0,02 M",100.00
"         Belanja Hibah","44,69 M","63,18 M",141.37
"         Belanja Bantuan Sosial","11,09 M","7,72 M",69.66
"         Belanja Tidak Terduga","29,10 M","32,27 M",110.89
"         Belanja Bagi Hasil","8,46 M","8,08 M",95.42
"         Belanja Bantuan Keuangan","285,38 M","288,09 M",100.95
Surplus/(Defisit),"-87,53 M","123,06 M",-140.59
"Pembiayaan Daerah","87,53 M","240,01 M",274.19
"     Penerimaan Pembiayaan Daerah","95,73 M","245,01 M",255.93
"         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","95,70 M","244,96 M",255.97
"         Penerimaan Kembali Pemberian Pinjaman Daerah","0,04 M","0,05 M",130.86
"     Pengeluaran Pembiayaan Daerah","8,20 M","5,00 M",60.98
"         Pembentukan Dana Cadangan","2,50 M","5,00 M",200.00
"         Penyertaan Modal Daerah","5,70 M","0,00 M",0.00
