akun,anggaran,realisasi,persentase
Pendapatan Daerah,"4.004,15","4.089,40",102.13
     PAD,"715,98","669,36",93.49
         Pajak Daerah,"286,87","321,64",112.12
         Retribusi Daerah,"34,60","32,03",92.55
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"20,07","20,59",102.62
         Lain-Lain PAD yang Sah,"374,43","295,11",78.81
     TKDD,"2.817,38","2.783,09",98.78
         Pendapatan Transfer Pemerintah Pusat,"2.817,38","2.783,09",98.78
     Pendapatan Lainnya,"470,79","636,94",135.29
         Pendapatan Transfer Antar Daerah,"268,00","372,84",139.12
         Pendapatan Hibah,"9,00","46,62",517.97
         Dana Darurat,,,
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"193,79","217,49",112.23
Belanja Daerah,"4.295,12","3.873,44",90.18
     Belanja Pegawai,"1.694,62","1.460,14",86.16
     Belanja Barang Jasa,"1.244,11","1.119,67",90.00
     Belanjaodal,"575,50","439,41",76.35
     Belanja Lainnya,"780,88","854,22",109.39
         Belanja Bunga,,,
         Belanja Subsidi,,,
         Belanja Hibah,"101,60","133,35",131.26
         Belanja Bantuan Sosial,"57,68","69,66",120.76
         Belanja Tidak Terduga,"13,00","41,41",318.56
         Belanja Bagi Hasil,"26,75","27,07",101.20
         Belanja Bantuan Keuangan,"581,86","582,72",100.15
Surplus/(Defisit),"-290,97","215,96",-74.22
Pembiayaan Daerah,"290,97","325,96",112.03
     Penerimaan Pembiayaan Daerah,"321,03","356,02",110.90
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"321,03","356,02",110.90
         Pencairan Dana Cadangan,,,
         Penjualan Kekayaan Daerah yang Dipisahkan,,,
         Penerimaan Pinjaman Daerah,,,
         Penerimaan Kembali Pemberian Pinjaman Daerah,,,
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
     Pengeluaran Pembiayaan Daerah,"30,06","30,06",100.00
         Pembentukan Dana Cadangan,,,
         Penyertaanodal Daerah,"29,06","29,06",100.00
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"1,00","1,00",100.00
         Pemberian Pinjaman Daerah,,,
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
