akun,anggaran,realisasi,persentase
Pendapatan Daerah,"2.134,37 M","2.608,44 M",122.21
     PAD,"359,76 M","478,46 M",132.99
         Pajak Daerah,"88,49 M","122,13 M",138.01
         Retribusi Daerah,"27,52 M","25,14 M",91.34
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"3,74 M","4,04 M",107.99
         Lain-Lain PAD yang Sah,"240,01 M","327,16 M",136.31
     TKDD,"1.580,96 M","1.820,18 M",115.13
         Pendapatan Transfer Pemerintah Pusat,"1.580,96 M","1.820,18 M",115.13
     Pendapatan Lainnya,"193,65 M","309,80 M",159.98
         Pendapatan Transfer Antar Daerah,"95,76 M","200,75 M",209.65
         Pendapatan Hibah,"6,00 M","6,00 M",100
         Dana Darurat,"0,00 M","0,00 M",0
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"91,89 M","103,04 M",112.14
Belanja Daerah,"2.335,57 M","2.395,34 M",102.56
     Belanja Pegawai,"1.080,77 M","979,17 M",90.6
     Belanja Barang Jasa,"562,96 M","560,98 M",99.65
     Belanja Modal,"224,73 M","351,68 M",156.49
     Belanja Lainnya,"467,11 M","503,52 M",107.8
         Belanja Bunga,"0,00 M","0,00 M",0
         Belanja Subsidi,"0,00 M","0,00 M",0
         Belanja Hibah,"20,32 M","54,63 M",268.84
         Belanja Bantuan Sosial,"9,27 M","10,52 M",113.49
         Belanja Tidak Terduga,"10,21 M","25,42 M",248.91
         Belanja Bagi Hasil,"12,04 M","14,11 M",117.15
         Belanja Bantuan Keuangan,"415,26 M","398,85 M",96.05
Surplus/(Defisit),"-201,20 M","213,09 M",-105.91
Pembiayaan Daerah,"201,20 M","337,97 M",167.98
     Penerimaan Pembiayaan Daerah,"230,00 M","365,97 M",159.12
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"230,00 M","365,75 M",159.02
         Pencairan Dana Cadangan,"0,00 M","0,00 M",0
         Penjualan Kekayaan Daerah yang Dipisahkan,"0,00 M","0,00 M",0
         Penerimaan Pinjaman Daerah,"0,00 M","0,00 M",0
         Penerimaan Kembali Pemberian Pinjaman Daerah,"0,00 M","0,22 M",0
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,00 M",0
     Pengeluaran Pembiayaan Daerah,"28,80 M","28,00 M",97.22
         Pembentukan Dana Cadangan,"0,00 M","0,00 M",0
         Penyertaan Modal Daerah,"28,80 M","28,00 M",97.22
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"0,00 M","0,00 M",0
         Pemberian Pinjaman Daerah,"0,00 M","0,00 M",0
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,00 M",0
