akun,anggaran,realisasi,persentase
Pendapatan Daerah,"2.127,46 M","2.226,09 M",104.64
     PAD,"242,03 M","283,61 M",117.18
         Pajak Daerah,"65,88 M","67,29 M",102.14
         Retribusi Daerah,"8,14 M","8,77 M",107.72
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"10,43 M","11,23 M",107.67
         Lain-Lain PAD yang Sah,"157,58 M","196,32 M",124.59
     TKDD,"1.730,23 M","1.705,21 M",98.55
         Pendapatan Transfer Pemerintah Pusat,"1.730,23 M","1.705,21 M",98.55
     Pendapatan Lainnya,"155,21 M","237,26 M",152.87
         Pendapatan Transfer Antar Daerah,"89,24 M","140,32 M",157.24
         Pendapatan Hibah,"0,00 M","91,16 M",0
         Dana Darurat,"0,00 M","0,00 M",0
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"65,96 M","5,78 M",8.76
Belanja Daerah,"2.270,42 M","2.205,16 M",97.13
     Belanja Pegawai,"1.053,17 M","981,74 M",93.22
     Belanja Barang Jasa,"427,01 M","474,42 M",111.1
     Belanja Modal,"328,18 M","257,95 M",78.6
     Belanja Lainnya,"462,05 M","491,06 M",106.28
         Belanja Bunga,"0,00 M","0,00 M",0
         Belanja Subsidi,"0,00 M","0,00 M",0
         Belanja Hibah,"42,36 M","53,49 M",126.28
         Belanja Bantuan Sosial,"5,67 M","5,68 M",100.09
         Belanja Tidak Terduga,"11,41 M","3,97 M",34.79
         Belanja Bagi Hasil,"12,83 M","427,92 M","3,334.29"
         Belanja Bantuan Keuangan,"389,78 M","0,00 M",0
Surplus/(Defisit),"-142,96 M","20,92 M",-14.64
Pembiayaan Daerah,"142,96 M","186,94 M",130.77
     Penerimaan Pembiayaan Daerah,"144,96 M","192,94 M",133.1
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"144,96 M","192,94 M",133.1
         Pencairan Dana Cadangan,"0,00 M","0,00 M",0
         Penjualan Kekayaan Daerah yang Dipisahkan,"0,00 M","0,00 M",0
         Penerimaan Pinjaman Daerah,"0,00 M","0,00 M",0
         Penerimaan Kembali Pemberian Pinjaman Daerah,"0,00 M","0,00 M",0
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,00 M",0
     Pengeluaran Pembiayaan Daerah,"2,00 M","6,00 M",300
         Pembentukan Dana Cadangan,"0,00 M","0,00 M",0
         Penyertaan Modal Daerah,"2,00 M","6,00 M",300
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"0,00 M","0,00 M",0
         Pemberian Pinjaman Daerah,"0,00 M","0,00 M",0
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,00 M",0
