akun,anggaran,realisasi,persentase
"Pendapatan Daerah","1.652,38 M","1.695,12 M",102.59
"     PAD","200,69 M","211,69 M",105.48
"         Pajak Daerah","35,20 M","35,57 M",101.06
"         Retribusi Daerah","36,81 M","16,83 M",45.72
"         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","2,60 M","2,70 M",104.01
"         Lain-Lain PAD yang Sah","126,08 M","156,58 M",124.19
"     TKDD","1.317,69 M","1.309,67 M",99.39
"         Pendapatan Transfer Pemerintah Pusat","1.317,69 M","1.309,67 M",99.39
"     Pendapatan Lainnya","134,00 M","173,77 M",129.68
"         Pendapatan Transfer Antar Daerah","88,34 M","101,30 M",114.67
"         Pendapatan Hibah","0,00 M","1,01 M",0
"         Dana Darurat","0,00 M","0,00 M",0
"         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","45,66 M","71,46 M",156.51
"Belanja Daerah","1.670,01 M","1.610,28 M",96.42
"     Belanja Pegawai","705,91 M","685,11 M",97.05
"         Belanja Pegawai","705,91 M","685,11 M",97.05
"     Belanja Barang Jasa","391,90 M","407,62 M",104.01
"         Belanja Barang dan Jasa","391,90 M","407,62 M",104.01
"     Belanja Modal","217,26 M","174,93 M",80.52
"         Belanja Modal","217,26 M","174,93 M",80.52
"     Belanja Lainnya","354,93 M","342,62 M",96.53
"         Belanja Bunga","0,00 M","0,00 M",0
"         Belanja Subsidi","0,00 M","0,00 M",0
"         Belanja Hibah","43,83 M","33,29 M",75.94
"         Belanja Bantuan Sosial","6,29 M","3,59 M",57.08
"         Belanja Tidak Terduga","4,00 M","12,17 M",304.36
"         Belanja Bagi Hasil","6,29 M","4,49 M",71.40
"         Belanja Bantuan Keuangan","294,52 M","289,08 M",98.15
Surplus/(Defisit),"-17,63 M","84,84 M",-481.38
"Pembiayaan Daerah","17,63 M","96,56 M",547.85
"     Penerimaan Pembiayaan Daerah","19,08 M","96,56 M",506.20
"         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","19,08 M","96,55 M",506.17
"         Pencairan Dana Cadangan","0,00 M","0,00 M",0
"         Penjualan Kekayaan Daerah yang Dipisahkan","0,00 M","0,00 M",0
"         Penerimaan Pinjaman Daerah","0,00 M","0,00 M",0
"         Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,01 M",0
"         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
"     Pengeluaran Pembiayaan Daerah","1,45 M","0,00 M",0.00
"         Pembentukan Dana Cadangan","0,00 M","0,00 M",0
"         Penyertaan Modal Daerah","1,45 M","0,00 M",0.00
"         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","0,00 M","0,00 M",0
"         Pemberian Pinjaman Daerah","0,00 M","0,00 M",0
"         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
