akun,anggaran,realisasi,persentase
"Pendapatan Daerah","3.277,92 M","3.364,86 M",102.65
"     PAD","724,01 M","701,20 M",96.85
"         Pajak Daerah","420,51 M","393,59 M",93.60
"         Retribusi Daerah","36,79 M","30,09 M",81.80
"         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","4,65 M","4,78 M",102.64
"         Lain-Lain PAD yang Sah","262,04 M","272,73 M",104.08
"     TKDD","2.177,56 M","2.175,98 M",99.93
"         Pendapatan Transfer Pemerintah Pusat","2.177,56 M","2.175,98 M",99.93
"     Pendapatan Lainnya","376,36 M","487,68 M",129.58
"         Pendapatan Transfer Antar Daerah","209,08 M","276,65 M",132.32
"         Pendapatan Hibah","36,17 M","27,29 M",75.45
"         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","131,11 M","183,74 M",140.14
"Belanja Daerah","3.453,88 M","3.273,76 M",94.78
"     Belanja Pegawai","1.174,41 M","1.107,84 M",94.33
"         Belanja Pegawai","1.174,41 M","1.107,84 M",94.33
"     Belanja Barang Jasa","876,63 M","931,05 M",106.21
"         Belanja Barang dan Jasa","876,63 M","931,05 M",106.21
"     Belanja Modal","500,60 M","376,07 M",75.12
"         Belanja Modal","500,60 M","376,07 M",75.12
"     Belanja Lainnya","902,24 M","858,80 M",95.18
"         Belanja Hibah","195,31 M","156,85 M",80.31
"         Belanja Bantuan Sosial","41,17 M","32,82 M",79.73
"         Belanja Tidak Terduga","25,00 M","33,87 M",135.47
"         Belanja Bagi Hasil","40,21 M","40,36 M",100.38
"         Belanja Bantuan Keuangan","600,56 M","594,89 M",99.06
Surplus/(Defisit),"-175,96 M","91,10 M",-51.77
"Pembiayaan Daerah","175,96 M","281,15 M",159.78
"     Penerimaan Pembiayaan Daerah","180,00 M","281,15 M",156.19
"         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","180,00 M","281,15 M",156.19
"     Pengeluaran Pembiayaan Daerah","4,04 M","0,00 M",0.00
"         Penyertaan Modal Daerah","4,04 M","0,00 M",0.00
