akun,anggaran,realisasi,persentase
Pendapatan Daerah,"2.205,82 M","2.327,25 M",105.5
     PAD,"271,64 M","376,70 M",138.68
         Pajak Daerah,"81,68 M","96,39 M",118.01
         Retribusi Daerah,"13,71 M","11,40 M",83.14
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"1,04 M","1,15 M",110.61
         Lain-Lain PAD yang Sah,"175,22 M","267,77 M",152.82
     TKDD,"1.720,74 M","1.701,95 M",98.91
         Pendapatan Transfer Pemerintah Pusat,"1.720,74 M","1.701,95 M",98.91
     Pendapatan Lainnya,"213,44 M","248,60 M",116.47
         Pendapatan Transfer Antar Daerah,"142,93 M","171,45 M",119.96
         Pendapatan Hibah,"3,00 M","2,80 M",93.4
         Dana Darurat,"0,00 M","0,00 M",0
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"67,51 M","74,34 M",110.13
Belanja Daerah,"2.379,64 M","2.112,62 M",88.78
     Belanja Pegawai,"1.004,89 M","944,98 M",94.04
     Belanja Barang Jasa,"407,37 M","441,07 M",108.27
     Belanja Modal,"454,55 M","225,03 M",49.51
     Belanja Lainnya,"512,83 M","501,54 M",97.8
         Belanja Bunga,"2,37 M","0,52 M",22.05
         Belanja Subsidi,"0,00 M","0,00 M",0
         Belanja Hibah,"58,03 M","49,52 M",85.32
         Belanja Bantuan Sosial,"20,76 M","13,09 M",63.08
         Belanja Tidak Terduga,"10,00 M","2,98 M",29.85
         Belanja Bagi Hasil,"9,20 M","13,21 M",143.71
         Belanja Bantuan Keuangan,"412,48 M","422,21 M",102.36
Surplus/(Defisit),"-173,82 M","214,64 M",-123.48
Pembiayaan Daerah,"173,82 M","103,96 M",59.81
     Penerimaan Pembiayaan Daerah,"176,82 M","106,96 M",60.49
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"21,55 M","106,96 M",496.3
         Pencairan Dana Cadangan,"0,00 M","0,00 M",0
         Penjualan Kekayaan Daerah yang Dipisahkan,"0,00 M","0,00 M",0
         Penerimaan Pinjaman Daerah,"154,97 M","0,00 M",0
         Penerimaan Kembali Pemberian Pinjaman Daerah,"0,30 M","0,00 M",0
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,00 M",0
     Pengeluaran Pembiayaan Daerah,"3,00 M","3,00 M",100
         Pembentukan Dana Cadangan,"0,00 M","0,00 M",0
         Penyertaan Modal Daerah,"3,00 M","3,00 M",100
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"0,00 M","0,00 M",0
         Pemberian Pinjaman Daerah,"0,00 M","0,00 M",0
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,00 M",0
