akun,anggaran,realisasi,persentase
Pendapatan Daerah,"2.336,11","2.399,82",102.73
     PAD,"241,65","300,40",124.31
         Pajak Daerah,"61,03","65,80",107.83
         Retribusi Daerah,"17,34","15,62",90.08
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"6,16","6,20",100.57
         Lain-Lain PAD yang Sah,"157,12","212,78",135.42
     TKDD,"1.876,62","1.844,52",98.29
         Pendapatan Transfer Pemerintah Pusat,"1.876,62","1.844,52",98.29
     Pendapatan Lainnya,"217,85","254,90",117.01
         Pendapatan Transfer Antar Daerah,"122,19","159,06",130.18
         Pendapatan Hibah,"14,20","10,56",74.33
         Dana Darurat,,,
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"81,46","85,29",104.69
Belanja Daerah,"2.513,85","2.234,95",88.91
     Belanja Pegawai,"888,57","845,32",95.13
     Belanja Barang Jasa,"558,76","499,42",89.38
     Belanjaodal,"357,79","175,52",49.06
     Belanja Lainnya,"708,72","714,68",100.84
         Belanja Bunga,"8,53","0,33",3.88
         Belanja Subsidi,,,
         Belanja Hibah,"93,56","75,53",80.73
         Belanja Bantuan Sosial,"12,25","30,68",250.38
         Belanja Tidak Terduga,"11,00","27,82",252.92
         Belanja Bagi Hasil,"7,84","7,84",100.00
         Belanja Bantuan Keuangan,"575,55","572,48",99.47
Surplus/(Defisit),"-177,73","164,87",-92.76
Pembiayaan Daerah,"177,73","172,74",97.19
     Penerimaan Pembiayaan Daerah,"205,12","201,44",98.21
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"75,00","196,30",261.73
         Pencairan Dana Cadangan,,,
         Penjualan Kekayaan Daerah yang Dipisahkan,,,
         Penerimaan Pinjaman Daerah,"129,20","3,46",2.67
         Penerimaan Kembali Pemberian Pinjaman Daerah,"0,92","1,68",183.11
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
     Pengeluaran Pembiayaan Daerah,"27,38","28,69",104.78
         Pembentukan Dana Cadangan,"15,00","15,00",100.00
         Penyertaanodal Daerah,"3,00","1,66",55.23
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"9,38","12,03",128.26
         Pemberian Pinjaman Daerah,,,
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
