akun,anggaran,realisasi,persentase
Pendapatan Daerah,"1.871,47 M","1.830,35 M",97.8
     PAD,"228,94 M","135,50 M",59.19
         Pajak Daerah,"36,21 M","31,00 M",85.6
         Retribusi Daerah,"32,13 M","20,90 M",65.04
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"25,38 M","5,77 M",22.76
         Lain-Lain PAD yang Sah,"135,22 M","77,83 M",57.56
     TKDD,"1.500,48 M","1.430,97 M",95.37
         Pendapatan Transfer Pemerintah Pusat,"1.500,48 M","1.430,97 M",95.37
     Pendapatan Lainnya,"142,05 M","263,88 M",185.77
         Pendapatan Transfer Antar Daerah,"67,49 M","141,80 M",210.11
         Pendapatan Hibah,,,
         Dana Darurat,,,
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"74,56 M","122,08 M",163.73
Belanja Daerah,"2.111,26 M","1.836,34 M",86.98
     Belanja Pegawai,"776,46 M","722,70 M",93.08
     Belanja Barang Jasa,"459,28 M","370,62 M",80.7
     Belanja Modal,"436,30 M","320,96 M",73.56
     Belanja Lainnya,"439,21 M","422,07 M",96.1
         Belanja Bunga,"0,81 M","0,53 M",65.77
         Belanja Subsidi,,,
         Belanja Hibah,"85,81 M","84,87 M",98.9
         Belanja Bantuan Sosial,"4,71 M","7,22 M",153.33
         Belanja Tidak Terduga,"5,00 M","4,65 M",93.01
         Belanja Bagi Hasil,"5,04 M","3,93 M",77.93
         Belanja Bantuan Keuangan,"337,84 M","320,87 M",94.98
Surplus/(Defisit),"-239,78 M","-5,99 M",2.5
Pembiayaan Daerah,"239,78 M","254,63 M",106.19
     Penerimaan Pembiayaan Daerah,"262,28 M","277,13 M",105.66
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"186,00 M","222,25 M",119.49
         Pencairan Dana Cadangan,,,
         Penjualan Kekayaan Daerah yang Dipisahkan,,,
         Penerimaan Pinjaman Daerah,"75,50 M","54,09 M",71.65
         Penerimaan Kembali Pemberian Pinjaman Daerah,"0,78 M","0,78 M",100
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
     Pengeluaran Pembiayaan Daerah,"22,50 M","22,50 M",100
         Pembentukan Dana Cadangan,"20,00 M","20,00 M",100
         Penyertaan Modal Daerah,"2,50 M","2,50 M",100
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,,,
         Pemberian Pinjaman Daerah,,,
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
