akun,anggaran,realisasi,persentase
"Pendapatan Daerah","1.718,47 M","1.752,52 M",101.98
"     PAD","212,06 M","228,77 M",107.88
"         Pajak Daerah","46,40 M","45,90 M",98.92
"         Retribusi Daerah","14,16 M","12,28 M",86.75
"         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","4,03 M","4,79 M",118.68
"         Lain-Lain PAD yang Sah","147,47 M","165,80 M",112.43
"     TKDD","1.322,64 M","1.319,57 M",99.77
"         Pendapatan Transfer Pemerintah Pusat","1.322,64 M","1.319,57 M",99.77
"     Pendapatan Lainnya","183,77 M","204,18 M",111.11
"         Pendapatan Transfer Antar Daerah","130,85 M","146,38 M",111.87
"         Pendapatan Hibah","0,00 M","57,80 M",0
"         Dana Darurat","0,00 M","0,00 M",0
"         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","52,92 M","0,00 M",0.00
"Belanja Daerah","1.843,16 M","1.652,27 M",89.64
"     Belanja Pegawai","773,94 M","674,62 M",87.17
"         Belanja Pegawai","773,94 M","674,62 M",87.17
"     Belanja Barang Jasa","471,86 M","467,16 M",99.00
"         Belanja Barang dan Jasa","471,86 M","467,16 M",99.00
"     Belanja Modal","281,37 M","217,52 M",77.31
"         Belanja Modal","281,37 M","217,52 M",77.31
"     Belanja Lainnya","315,98 M","292,98 M",92.72
"         Belanja Bunga","0,00 M","0,01 M",0
"         Belanja Subsidi","5,00 M","0,00 M",0.00
"         Belanja Hibah","51,80 M","47,92 M",92.52
"         Belanja Bantuan Sosial","12,01 M","6,06 M",50.51
"         Belanja Tidak Terduga","15,02 M","10,25 M",68.26
"         Belanja Bagi Hasil","5,49 M","5,39 M",98.11
"         Belanja Bantuan Keuangan","226,66 M","223,34 M",98.53
Surplus/(Defisit),"-124,69 M","100,24 M",-80.40
"Pembiayaan Daerah","124,69 M","274,01 M",219.76
"     Penerimaan Pembiayaan Daerah","124,69 M","274,01 M",219.76
"         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","124,65 M","211,66 M",169.80
"         Pencairan Dana Cadangan","0,00 M","0,00 M",0
"         Penjualan Kekayaan Daerah yang Dipisahkan","0,00 M","0,00 M",0
"         Penerimaan Pinjaman Daerah","0,00 M","0,00 M",0
"         Penerimaan Kembali Pemberian Pinjaman Daerah","0,03 M","0,00 M",0.00
"         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","62,35 M",0
"     Pengeluaran Pembiayaan Daerah","0,00 M","0,00 M",0
"         Pembentukan Dana Cadangan","0,00 M","0,00 M",0
"         Penyertaan Modal Daerah","0,00 M","0,00 M",0
"         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","0,00 M","0,00 M",0
"         Pemberian Pinjaman Daerah","0,00 M","0,00 M",0
"         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
