akun,anggaran,realisasi,persentase
Pendapatan Daerah,8660.40,8326.88,96.15
     PAD,5561.56,4727.28,85
         Pajak Daerah,4442.98,3649.73,82.15
         Retribusi Daerah,332.03,235.59,70.95
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,172.06,160.87,93.5
         Lain-Lain PAD yang Sah,614.49,681.09,110.84
     TKDD,2069.38,2202.54,106.43
         Pendapatan Transfer Pemerintah Pusat,2069.38,2202.54,106.43
     Pendapatan Lainnya,1029.46,1397.06,135.71
         Pendapatan Transfer Antar Daerah,822.32,1016.42,123.6
         Pendapatan Hibah,0.00,15.26,0
         Dana Darurat,0.00,0.00,0
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,207.15,365.39,176.39
Belanja Daerah,9828.39,7819.08,79.56
     Belanja Pegawai,2651.97,2353.63,88.75
     Belanja Barang Jasa,4535.63,4259.97,93.92
     Belanja Modal,2369.91,1016.34,42.89
     Belanja Lainnya,270.89,189.15,69.82
         Belanja Bunga,0.00,0.00,0
         Belanja Subsidi,0.00,0.00,0
         Belanja Hibah,254.57,157.78,61.98
         Belanja Bantuan Sosial,0.06,0.06,91.3
         Belanja Tidak Terduga,15.00,28.25,188.34
         Belanja Bagi Hasil,0.75,3.06,407.39
         Belanja Bantuan Keuangan,0.50,0.00,0
Surplus/(Defisit),-1167.99,507.80,-43.48
Pembiayaan Daerah,1167.99,316.62,27.11
     Penerimaan Pembiayaan Daerah,1177.99,316.62,26.88
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,1177.99,316.61,26.88
         Pencairan Dana Cadangan,0.00,0.00,0
         Penjualan Kekayaan Daerah yang Dipisahkan,0.00,0.00,0
         Penerimaan Pinjaman Daerah,0.00,0.00,0
         Penerimaan Kembali Pemberian Pinjaman Daerah,0.00,0.01,0
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.00,0.00,0
     Pengeluaran Pembiayaan Daerah,10.00,0.00,0
         Pembentukan Dana Cadangan,0.00,0.00,0
         Penyertaan Modal Daerah,10.00,0.00,0
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,0.00,0.00,0
         Pemberian Pinjaman Daerah,0.00,0.00,0
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.00,0.00,0
