akun,anggaran,realisasi,persentase
Pendapatan Daerah,"2.394,26 M","3.095,98 M",129.31
     PAD,"436,04 M","953,89 M",218.76
         Pajak Daerah,"86,44 M","112,06 M",129.63
         Retribusi Daerah,"22,36 M","20,60 M",92.12
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"6,57 M","6,40 M",97.36
         Lain-Lain PAD yang Sah,"320,66 M","814,83 M",254.11
     TKDD,"1.849,53 M","1.830,13 M",98.95
         Pendapatan Transfer Pemerintah Pusat,"1.849,53 M","1.830,13 M",98.95
     Pendapatan Lainnya,"108,69 M","311,95 M",287
         Pendapatan Transfer Antar Daerah,"108,69 M","221,09 M",203.41
         Pendapatan Hibah,"0,00 M","0,00 M",0
         Dana Darurat,"0,00 M","0,00 M",0
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","90,86 M",0
Belanja Daerah,"2.506,26 M","2.753,99 M",109.88
     Belanja Pegawai,"1.230,65 M","1.177,49 M",95.68
     Belanja Barang Jasa,"579,01 M","773,54 M",133.6
     Belanja Modal,"222,10 M","288,29 M",129.8
     Belanja Lainnya,"474,50 M","514,68 M",108.47
         Belanja Bunga,"0,00 M","0,00 M",0
         Belanja Subsidi,"0,00 M","0,00 M",0
         Belanja Hibah,"82,59 M","91,30 M",110.55
         Belanja Bantuan Sosial,"3,40 M","21,77 M",640.06
         Belanja Tidak Terduga,"15,00 M","17,15 M",114.34
         Belanja Bagi Hasil,"9,10 M","9,79 M",107.54
         Belanja Bantuan Keuangan,"364,40 M","374,66 M",102.82
Surplus/(Defisit),"-112,00 M","341,98 M",-305.34
Pembiayaan Daerah,"112,00 M","440,28 M",393.11
     Penerimaan Pembiayaan Daerah,"120,50 M","447,28 M",371.19
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"120,50 M","447,28 M",371.19
         Pencairan Dana Cadangan,"0,00 M","0,00 M",0
         Penjualan Kekayaan Daerah yang Dipisahkan,"0,00 M","0,00 M",0
         Penerimaan Pinjaman Daerah,"0,00 M","0,00 M",0
         Penerimaan Kembali Pemberian Pinjaman Daerah,"0,00 M","0,00 M",0
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,00 M",0
     Pengeluaran Pembiayaan Daerah,"8,50 M","7,00 M",82.35
         Pembentukan Dana Cadangan,"0,00 M","0,00 M",0
         Penyertaan Modal Daerah,"8,50 M","7,00 M",82.35
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"0,00 M","0,00 M",0
         Pemberian Pinjaman Daerah,"0,00 M","0,00 M",0
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,00 M",0
