akun,anggaran,realisasi,persentase
Pendapatan Daerah,998.77,969.96,97.12
     PAD,200.00,147.01,73.5
         Pajak Daerah,149.52,120.65,80.69
         Retribusi Daerah,18.16,5.17,28.47
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,4.23,3.17,74.81
         Lain-Lain PAD yang Sah,28.08,18.02,64.18
     TKDD,689.97,700.97,101.59
         Pendapatan Transfer Pemerintah Pusat,689.97,700.97,101.59
     Pendapatan Lainnya,108.80,121.98,112.12
         Pendapatan Transfer Antar Daerah,92.70,103.37,111.51
         Pendapatan Hibah,0.00,2.25,0
         Dana Darurat,,,
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,16.10,16.36,101.66
Belanja Daerah,1087.36,989.97,91.04
     Belanja Pegawai,387.66,371.02,95.71
     Belanja Barang Jasa,361.35,320.81,88.78
     Belanjaodal,161.67,131.19,81.15
     Belanja Lainnya,176.68,166.95,94.49
         Belanja Bunga,,,
         Belanja Subsidi,,,
         Belanja Hibah,50.79,56.89,112.01
         Belanja Bantuan Sosial,13.73,11.28,82.17
         Belanja Tidak Terduga,10.85,6.03,55.55
         Belanja Bagi Hasil,16.77,9.28,55.36
         Belanja Bantuan Keuangan,84.54,83.47,98.73
Surplus/(Defisit),-88.59,-20.01,22.59
Pembiayaan Daerah,88.59,263.32,297.22
     Penerimaan Pembiayaan Daerah,94.24,268.96,285.41
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,94.24,268.96,285.41
         Pencairan Dana Cadangan,,,
         Penjualan Kekayaan Daerah yang Dipisahkan,,,
         Penerimaan Pinjaman Daerah,,,
         Penerimaan Kembali Pemberian Pinjaman Daerah,,,
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
     Pengeluaran Pembiayaan Daerah,5.65,5.65,100
         Pembentukan Dana Cadangan,,,
         Penyertaanodal Daerah,5.65,5.65,100
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,,,
         Pemberian Pinjaman Daerah,,,
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
