akun,anggaran,realisasi,persentase
Pendapatan Daerah,1225.58,1508.82,12311.00
     PAD,272.35,439.90,16152.00
         Pajak Daerah,112.89,115.83,10261.00
         Retribusi Daerah,18.92,10.19,5384.00
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,1.44,0.70,4869.00
         Lain-Lain PAD yang Sah,139.10,313.18,22514.00
     TKDD,832.43,912.75,10965.00
         Pendapatan Transfer Pemerintah Pusat,832.43,912.75,10965.00
     Pendapatan Lainnya,120.80,156.18,12929.00
         Pendapatan Transfer Antar Daerah,92.58,127.75,13799.00
         Pendapatan Hibah,,,
         Dana Darurat,,,
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,28.22,28.43,10075.00
Belanja Daerah,1428.49,1344.27,941.00
     Belanja Pegawai,639.95,535.87,8374.00
     Belanja Barang Jasa,577.42,552.21,9563.00
     Belanjaodal,81.52,106.61,13077.00
     Belanja Lainnya,129.60,149.59,11543.00
         Belanja Bunga,,,
         Belanja Subsidi,,,
         Belanja Hibah,86.95,85.72,9859.00
         Belanja Bantuan Sosial,26.58,31.73,11937.00
         Belanja Tidak Terduga,15.50,31.65,20417.00
         Belanja Bagi Hasil,,,
         Belanja Bantuan Keuangan,0.57,0.50,872.00
Surplus/(Defisit),-202.91,164.55,-8109.00
Pembiayaan Daerah,0.00,0.00,0.00
     Penerimaan Pembiayaan Daerah,202.91,342.74,16891.00
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,202.91,342.74,16891.00
         Pencairan Dana Cadangan,,,
         Penjualan Kekayaan Daerah yang Dipisahkan,,,
         Penerimaan Pinjaman Daerah,,,
         Penerimaan Kembali Pemberian Pinjaman Daerah,,,
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
     Pengeluaran Pembiayaan Daerah,,,
         Pembentukan Dana Cadangan,,,
         Penyertaanodal Daerah,,,
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,,,
         Pemberian Pinjaman Daerah,,,
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
