akun,anggaran,realisasi,persentase
Pendapatan Daerah,1003.82,1100.68,109.65
     PAD,226.89,265.92,117.2
         Pajak Daerah,76.98,87.87,114.16
         Retribusi Daerah,16.73,17.46,104.38
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,15.09,16.2,107.34
         Lain-Lain PAD yang Sah,118.09,144.38,122.26
     TKDD,692.15,709.16,102.46
         Pendapatan Transfer Pemerintah Pusat,692.15,709.16,102.46
     Pendapatan Lainnya,84.78,125.6,148.14
         Pendapatan Transfer Antar Daerah,65.38,103.96,159.01
         Pendapatan Hibah,0,21.64,0
         Dana Darurat,0,0,0
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,19.4,0,0
Belanja Daerah,1140.82,1073.68,94.11
     Belanja Pegawai,478.43,413.77,86.48
     Belanja Barang Jasa,425.06,413.96,97.39
     Belanjaodal,197.74,197.96,100.11
     Belanja Lainnya,39.6,48,121.21
         Belanja Bunga,0,0,0
         Belanja Subsidi,0,0,0
         Belanja Hibah,13.77,13.43,97.57
         Belanja Bantuan Sosial,22.65,18.72,82.66
         Belanja Tidak Terduga,3.18,15.84,497.99
         Belanja Bagi Hasil,0,0,0
         Belanja Bantuan Keuangan,0,0,0
Surplus/(Defisit),-137,27,-19.71
Pembiayaan Daerah,137,268.93,196.3
     Penerimaan Pembiayaan Daerah,137,268.93,196.3
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,137,268.93,196.3
         Pencairan Dana Cadangan,0,0,0
         Penjualan Kekayaan Daerah yang Dipisahkan,0,0,0
         Penerimaan Pinjaman Daerah,0,0,0
         Penerimaan Kembali Pemberian Pinjaman Daerah,0,0,0
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0,0,0
     Pengeluaran Pembiayaan Daerah,0,0,0
         Pembentukan Dana Cadangan,0,0,0
         Penyertaanodal Daerah,0,0,0
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,0,0,0
         Pemberian Pinjaman Daerah,0,0,0
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0,0,0
