akun,anggaran,realisasi,persentase
Pendapatan Daerah,780.83,839.31,107.49
     PAD,133.36,131.84,98.86
         Pajak Daerah,35.03,39.92,113.97
         Retribusi Daerah,8.38,7.59,90.55
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,5.00,5.85,117.09
         Lain-Lain PAD yang Sah,84.95,78.47,92.37
     TKDD,594.95,602.69,101.3
         Pendapatan Transfer Pemerintah Pusat,594.95,602.69,101.3
     Pendapatan Lainnya,52.52,104.78,199.51
         Pendapatan Transfer Antar Daerah,51.02,97.52,191.14
         Pendapatan Hibah,1.50,0.00,0
         Dana Darurat,0.00,0.00,0
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.00,7.26,0
Belanja Daerah,1097.53,858.58,78.23
     Belanja Pegawai,383.72,342.86,89.35
     Belanja Barang Jasa,424.70,344.17,81.04
     Belanjaodal,187.47,93.03,49.62
     Belanja Lainnya,101.64,78.53,77.26
         Belanja Bunga,0.00,0.00,0
         Belanja Subsidi,0.00,0.00,0
         Belanja Hibah,48.38,43.67,90.27
         Belanja Bantuan Sosial,32.26,24.50,75.94
         Belanja Tidak Terduga,21.00,10.36,49.33
         Belanja Bagi Hasil,0.00,0.00,0
         Belanja Bantuan Keuangan,0.00,0.00,0
Surplus/(Defisit),-316.70,-19.28,6.09
Pembiayaan Daerah,316.70,220.25,69.55
     Penerimaan Pembiayaan Daerah,318.20,222.91,70.05
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,267.83,222.88,83.22
         Pencairan Dana Cadangan,50.37,0.00,0
         Penjualan Kekayaan Daerah yang Dipisahkan,0.00,0.00,0
         Penerimaan Pinjaman Daerah,0.00,0.00,0
         Penerimaan Kembali Pemberian Pinjaman Daerah,0.00,0.02,0
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.00,0.00,0
     Pengeluaran Pembiayaan Daerah,1.50,2.65,176.74
         Pembentukan Dana Cadangan,0.00,2.65,0
         Penyertaanodal Daerah,1.50,0.00,0
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,0.00,0.00,0
         Pemberian Pinjaman Daerah,0.00,0.00,0
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.00,0.00,0
