akun,anggaran,realisasi,persentase
Pendapatan Daerah,4210.82,4669.64,110.9
     PAD,1609.82,1921.24,119.35
         Pajak Daerah,953.96,1027.82,107.74
         Retribusi Daerah,73.31,65.34,89.13
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,30.25,31.13,102.92
         Lain-Lain PAD yang Sah,552.29,796.95,144.3
     TKDD,2014.32,2031.97,100.88
         Pendapatan Transfer Pemerintah Pusat,2014.32,2031.97,100.88
     Pendapatan Lainnya,586.68,716.42,122.11
         Pendapatan Transfer Antar Daerah,436.2,530.54,121.63
         Pendapatan Hibah,0,1.87,0
         Dana Darurat,0,0,0
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,150.48,184.01,122.28
Belanja Daerah,5329.32,4936.1,92.62
     Belanja Pegawai,1635.78,1620.05,99.04
     Belanja Barang Jasa,1630.7,1413.43,86.68
     Belanjaodal,1171.94,919.01,78.42
     Belanja Lainnya,890.9,983.61,110.41
         Belanja Bunga,0,0,0
         Belanja Subsidi,2.52,4.56,181.09
         Belanja Hibah,156.29,147.34,94.28
         Belanja Bantuan Sosial,92.26,110.27,119.53
         Belanja Tidak Terduga,38.91,56.55,145.33
         Belanja Bagi Hasil,102.73,103.2,100.46
         Belanja Bantuan Keuangan,498.19,561.68,112.74
Surplus/(Defisit),-1118.5,-266.46,23.82
Pembiayaan Daerah,1118.5,1107.46,99.01
     Penerimaan Pembiayaan Daerah,1123,1109.33,98.78
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,1122.5,1106.08,98.54
         Pencairan Dana Cadangan,0,0,0
         Penjualan Kekayaan Daerah yang Dipisahkan,0,0,0
         Penerimaan Pinjaman Daerah,0,0,0
         Penerimaan Kembali Pemberian Pinjaman Daerah,0.5,0,0
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0,3.24,0
     Pengeluaran Pembiayaan Daerah,4.5,1.87,41.47
         Pembentukan Dana Cadangan,0,0,0
         Penyertaanodal Daerah,4.5,1.87,41.47
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,0,0,0
         Pemberian Pinjaman Daerah,0,0,0
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0,0,0
