akun,anggaran,realisasi,persentase
Pendapatan Daerah,1718.47,1752.52,101.98
     PAD,212.06,228.77,107.88
         Pajak Daerah,46.40,45.90,98.92
         Retribusi Daerah,14.16,12.28,86.75
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,4.03,4.79,118.68
         Lain-Lain PAD yang Sah,147.47,165.80,112.43
     TKDD,1322.64,1319.57,99.77
         Pendapatan Transfer Pemerintah Pusat,1322.64,1319.57,99.77
     Pendapatan Lainnya,183.77,204.18,111.11
         Pendapatan Transfer Antar Daerah,130.85,146.38,111.87
         Pendapatan Hibah,0.00,57.80,0
         Dana Darurat,0.00,0.00,0
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,52.92,0.00,0
Belanja Daerah,1843.16,1652.27,89.64
     Belanja Pegawai,773.94,674.62,87.17
     Belanja Barang Jasa,471.86,467.16,99
     Belanjaodal,281.37,217.52,77.31
     Belanja Lainnya,315.98,292.98,92.72
         Belanja Bunga,0.00,0.01,0
         Belanja Subsidi,5.00,0.00,0
         Belanja Hibah,51.80,47.92,92.52
         Belanja Bantuan Sosial,12.01,6.06,50.51
         Belanja Tidak Terduga,15.02,10.25,68.26
         Belanja Bagi Hasil,5.49,5.39,98.11
         Belanja Bantuan Keuangan,226.66,223.34,98.53
Surplus/(Defisit),-124.69,100.24,-80.4
Pembiayaan Daerah,124.69,274.01,219.76
     Penerimaan Pembiayaan Daerah,124.69,274.01,219.76
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,124.65,211.66,169.8
         Pencairan Dana Cadangan,0.00,0.00,0
         Penjualan Kekayaan Daerah yang Dipisahkan,0.00,0.00,0
         Penerimaan Pinjaman Daerah,0.00,0.00,0
         Penerimaan Kembali Pemberian Pinjaman Daerah,0.03,0.00,0
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.00,62.35,0
     Pengeluaran Pembiayaan Daerah,0.00,0.00,0
         Pembentukan Dana Cadangan,0.00,0.00,0
         Penyertaanodal Daerah,0.00,0.00,0
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,0.00,0.00,0
         Pemberian Pinjaman Daerah,0.00,0.00,0
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0.00,0.00,0
