akun,anggaran,realisasi,persentase
"Pendapatan Daerah","3.788,74 M","5.904,10 M",155.83
"     PAD","691,31 M","955,64 M",138.24
"         Pajak Daerah","99,39 M","138,56 M",139.40
"         Retribusi Daerah","40,25 M","32,74 M",81.36
"         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","144,61 M","398,27 M",275.41
"         Lain-Lain PAD yang Sah","407,06 M","386,07 M",94.84
"     TKDD","2.894,85 M","4.578,72 M",158.17
"         Pendapatan Transfer Pemerintah Pusat","2.894,85 M","4.578,72 M",158.17
"     Pendapatan Lainnya","202,58 M","369,74 M",182.51
"         Pendapatan Transfer Antar Daerah","104,09 M","205,13 M",197.08
"         Pendapatan Hibah","0,00 M","98,74 M",0
"         Dana Darurat","0,00 M","0,00 M",0
"         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","98,50 M","65,86 M",66.87
"Belanja Daerah","6.219,91 M","5.086,92 M",81.78
"     Belanja Pegawai","1.456,96 M","1.003,86 M",68.90
"         Belanja Pegawai","1.456,96 M","1.003,86 M",68.90
"     Belanja Barang Jasa","1.116,57 M","1.015,10 M",90.91
"         Belanja Barang dan Jasa","1.116,57 M","1.015,10 M",90.91
"     Belanja Modal","1.973,50 M","1.619,93 M",82.08
"         Belanja Modal","1.973,50 M","1.619,93 M",82.08
"     Belanja Lainnya","1.672,88 M","1.448,03 M",86.56
"         Belanja Bunga","0,00 M","0,00 M",0
"         Belanja Subsidi","0,22 M","0,00 M",0.00
"         Belanja Hibah","431,56 M","335,62 M",77.77
"         Belanja Bantuan Sosial","145,21 M","205,10 M",141.25
"         Belanja Tidak Terduga","38,05 M","34,62 M",90.98
"         Belanja Bagi Hasil","13,96 M","14,49 M",103.76
"         Belanja Bantuan Keuangan","1.043,87 M","858,20 M",82.21
Surplus/(Defisit),"-2.431,16 M","817,18 M",-33.61
"Pembiayaan Daerah","2.431,16 M","2.010,52 M",82.70
"     Penerimaan Pembiayaan Daerah","2.431,16 M","2.010,52 M",82.70
"         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","2.431,16 M","2.009,68 M",82.66
"         Pencairan Dana Cadangan","0,00 M","0,00 M",0
"         Penjualan Kekayaan Daerah yang Dipisahkan","0,00 M","0,00 M",0
"         Penerimaan Pinjaman Daerah","0,00 M","0,00 M",0
"         Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,83 M",0
"         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
"     Pengeluaran Pembiayaan Daerah","0,00 M","0,00 M",0
"         Pembentukan Dana Cadangan","0,00 M","0,00 M",0
"         Penyertaan Modal Daerah","0,00 M","0,00 M",0
"         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","0,00 M","0,00 M",0
"         Pemberian Pinjaman Daerah","0,00 M","0,00 M",0
"         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
