akun,anggaran,realisasi,persentase
"Pendapatan Daerah","885,59 M","1.041,51 M",117.61
"     PAD","187,33 M","297,62 M",158.87
"         Pajak Daerah","41,06 M","38,28 M",93.23
"         Retribusi Daerah","9,06 M","6,38 M",70.43
"         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","1,10 M","0,83 M",75.12
"         Lain-Lain PAD yang Sah","136,11 M","252,13 M",185.24
"     TKDD","605,30 M","618,65 M",102.21
"         Pendapatan Transfer Pemerintah Pusat","605,30 M","618,65 M",102.21
"     Pendapatan Lainnya","92,95 M","125,24 M",134.73
"         Pendapatan Transfer Antar Daerah","75,03 M","95,35 M",127.09
"         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","17,93 M","29,89 M",166.72
"Belanja Daerah","960,46 M","986,00 M",102.66
"     Belanja Pegawai","328,40 M","314,98 M",95.91
"         Belanja Pegawai","328,40 M","314,98 M",95.91
"     Belanja Barang Jasa","448,37 M","481,18 M",107.32
"         Belanja Barang dan Jasa","448,37 M","481,18 M",107.32
"     Belanja Modal","125,15 M","130,86 M",104.56
"         Belanja Modal","125,15 M","130,86 M",104.56
"     Belanja Lainnya","58,54 M","58,99 M",100.77
"         Belanja Hibah","27,33 M","24,92 M",91.17
"         Belanja Bantuan Sosial","24,21 M","21,24 M",87.73
"         Belanja Tidak Terduga","7,00 M","12,84 M",183.36
Surplus/(Defisit),"-74,87 M","55,50 M",-74.13
"Pembiayaan Daerah","74,87 M","-2,94 M",-3.93
"     Penerimaan Pembiayaan Daerah","75,87 M","0,06 M",0.07
"         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","75,87 M","0,00 M",0.00
"         Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,06 M",0
"     Pengeluaran Pembiayaan Daerah","1,00 M","3,00 M",300.00
"         Penyertaan Modal Daerah","1,00 M","3,00 M",300.00
