akun,anggaran,realisasi,persentase
"Pendapatan Daerah","4.004,15 M","4.089,40 M",102.13
"     PAD","715,98 M","669,36 M",93.49
"         Pajak Daerah","286,87 M","321,64 M",112.12
"         Retribusi Daerah","34,60 M","32,03 M",92.55
"         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","20,07 M","20,59 M",102.62
"         Lain-Lain PAD yang Sah","374,43 M","295,11 M",78.81
"     TKDD","2.817,38 M","2.783,09 M",98.78
"         Pendapatan Transfer Pemerintah Pusat","2.817,38 M","2.783,09 M",98.78
"     Pendapatan Lainnya","470,79 M","636,94 M",135.29
"         Pendapatan Transfer Antar Daerah","268,00 M","372,84 M",139.12
"         Pendapatan Hibah","9,00 M","46,62 M",517.97
"         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","193,79 M","217,49 M",112.23
"Belanja Daerah","4.295,12 M","3.873,44 M",90.18
"     Belanja Pegawai","1.694,62 M","1.460,14 M",86.16
"         Belanja Pegawai","1.694,62 M","1.460,14 M",86.16
"     Belanja Barang Jasa","1.244,11 M","1.119,67 M",90.00
"         Belanja Barang dan Jasa","1.244,11 M","1.119,67 M",90.00
"     Belanja Modal","575,50 M","439,41 M",76.35
"         Belanja Modal","575,50 M","439,41 M",76.35
"     Belanja Lainnya","780,88 M","854,22 M",109.39
"         Belanja Hibah","101,60 M","133,35 M",131.26
"         Belanja Bantuan Sosial","57,68 M","69,66 M",120.76
"         Belanja Tidak Terduga","13,00 M","41,41 M",318.56
"         Belanja Bagi Hasil","26,75 M","27,07 M",101.20
"         Belanja Bantuan Keuangan","581,86 M","582,72 M",100.15
Surplus/(Defisit),"-290,97 M","215,96 M",-74.22
"Pembiayaan Daerah","290,97 M","325,96 M",112.03
"     Penerimaan Pembiayaan Daerah","321,03 M","356,02 M",110.90
"         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","321,03 M","356,02 M",110.90
"     Pengeluaran Pembiayaan Daerah","30,06 M","30,06 M",100.00
"         Penyertaan Modal Daerah","29,06 M","29,06 M",100.00
"         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","1,00 M","1,00 M",100.00
